#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260416    06:28:29       0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:28:29       1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
 20260416    06:28:29       2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
 20260416    06:28:29       3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
 20260416    06:28:32       0     46     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:28:32       1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
 20260416    06:28:32       2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
 20260416    06:28:32       3     34     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
 20260416    06:28:34       0     46     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
 20260416    06:28:34       1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
 20260416    06:28:34       2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
 20260416    06:28:34       3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0    113 
 20260416    06:28:36       0     67     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     98      5 
 20260416    06:28:36       1     74     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6     16 
 20260416    06:28:36       2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     54      7 
 20260416    06:28:36       3     41     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95     54 
 20260416    06:28:38       0     60     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     15 
 20260416    06:28:38       1     82     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38     10 
