Linux 5.15.0-174-generic (t120h-p100) 	04/16/26 	_x86_64_	(80 CPU)

06:55:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:55:51     all    0.05    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   99.41
06:55:51       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51       3    0.00    0.00   38.00    0.00    0.00    0.00    0.00    0.00    0.00   62.00
06:55:51       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      23    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
06:55:51      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:55:51      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
