# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     44     71      -      6      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     14 
    1     45     69      -      8      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0    297      9 
    2     64     51      -     10      3      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     30     16 
    3     34     48      -      8      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31      8 
    0     58     71      -      8      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     31      0 
    1     60     69      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     62      5 
    2     61     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22      6 
    3     34     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     11     14 
    0     57     71      -      9      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      6      0 
    1     47     69      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     44     10 
    2     59     51      -      8      3      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38     13 
    3     34     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     54     54 
    0     45     71      -      9      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     46     69      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      2     15 
    2     39     51      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     14      0 
    3     35     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     33     12 
    0     57     71      -      7      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     46     69      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
    2     65     51      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     30     16 
    3     34     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     63     63 
    0     48     71      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     10     13 
    1     46     69      -      9      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     33     13 
    2     45     51      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46      7 
    3     41     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     48     55 
    0     45     71      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     48      3 
