# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     54     76      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82      9 
    1     73     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     22     14 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     78      1 
    3     52     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      7     22 
    0     58     76      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     15 
    1     81     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38     10 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62      5 
    3     52     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     23     18 
    0     60     76      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     52     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      9 
    2     40     53      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22      0 
    3     50     50      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     82     60 
    0     50     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     42     19 
    1     64     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     43     11 
    2     63     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     30     12 
    3     35     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     74     61 
    0     50     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      7 
    1     50     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     27     15 
    2     65     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46      7 
    3     36     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     58     65 
    0     53     76      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     51     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     19 
    2     63     53      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     37     12 
    3     49     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     47     66 
    0     52     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     17     24 
    1     53     74      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     82      1 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     32     13 
    3     47     50      -     13      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     55      0 
    0     50     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    104      3 
    1     72     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      2     18 
    2     69     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46     12 
    3     51     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     47      0 
    0     53     76      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    110      0 
    1     63     75      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     18 
    2     68     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46      8 
    3     36     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     47     12 
    0     66     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     22      0 
    1     54     75      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     79      1 
    2     58     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     84     19 
