# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     49     66      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     73      1 
    1     63     63      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
    2     61     49      -      7      3      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     30     16 
    3     34     46      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     74     61 
    0     42     66      -      6      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     19     19 
    1     43     63      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     79      3 
    2     38     49      -      7      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46      9 
    3     47     47      -      8      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     55      0 
    0     43     66      -      8      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     96      6 
    1     66     64      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     22      0 
    2     53     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      8 
    3     35     47      -     11      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     63     15 
    0     46     66      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     50     16 
    1     43     64      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38     12 
    2     64     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     70      3 
    3     51     46      -     10      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31      1 
    0     47     66      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     36      2 
    1     59     64      -      9      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6      6 
    2     38     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46      9 
    3     49     47      -      9      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     47     18 
    0     43     66      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     32      0 
    1     51     64      -      8      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     18 
    2     38     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     84     11 
    3     44     47      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     63     15 
    0     43     66      -      9      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      2     19 
    1     43     64      -      7      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     62      6 
    2     59     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22     17 
    3     40     47      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     87     55 
    0     41     66      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     19      3 
    1     66     64      -      9      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6      0 
    2     42     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38     11 
    3     43     47      -     10      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     63     15 
    0     44     67      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      9 
    1     70     64      -      7      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     30     18 
    2     38     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     84      0 
    3     51     47      -     10      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     15      7 
    0     47     67      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     42      0 
    1     63     64      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     12 
    2     38     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62      5 
    3     46     47      -     11      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     39      1 
    0     48     66      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     44     64      -      8      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     18 
    2     38     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     84      8 
    3     35     47      -     10      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     41     69 
