# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     74      -      9      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     50     17 
    1     73     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      0 
    2     46     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     54      7 
    3     51     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31     13 
    0     45     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    104      4 
    1     73     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     18 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     84     19 
    3     39     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    102     22 
    0     53     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    102      0 
    1     66     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      2     19 
    2     63     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     31     13 
    3     46     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     63      7 
    0     46     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66     13 
    1     79     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      7 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62     11 
    3     36     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     74     13 
    0     45     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    102      4 
    1     68     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6      0 
    2     41     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     18 
    3     36     51      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      7     19 
    0     45     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     99      5 
    1     75     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6     16 
    2     40     54      -     10      3      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     84      0 
    3     62     50      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     94     54 
    0     55     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     15 
    1     76     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      0 
    2     41     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     33     13 
    3     47     51      -     10      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     55     70 
    0     54     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      3 
    1     49     73      -     10      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85      0 
    2     43     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     17     17 
    3     44     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     72      3 
    0     46     75      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     62      0 
    1     59     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     34     13 
    2     68     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38      6 
    3     36     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     57     66 
    0     63     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     30      0 
    1     55     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     63      5 
    2     61     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      6     16 
    3     36     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     90     57 
    0     66     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      6      0 
    1     52     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     17 
    2     40     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     84     18 
    3     36     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     98     55 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     58     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     11     23 
    1     48     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85      0 
    2     55     54      -      9      3      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     16     17 
    3     43     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      2     22 
    0     58     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     71      0 
    1     63     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     22     16 
    2     68     54      -      8      3      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46      0 
    3     40     51      -     10      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     47      7 
    0     46     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     65     14 
    1     80     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      7 
    2     40     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     60      6 
    3     49     51      -     11      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31     63 
    0     59     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     50     17 
    1     71     73      -      8      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38     12 
    2     65     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     30      8 
    3     36     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     58     65 
    0     54     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    102      0 
    1     64     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     32     13 
    3     48     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     55      7 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     45     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
