# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     45     69      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    102      4 
    1     70     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     19 
    2     50     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46      6 
    3     36     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     58     66 
    0     60     69      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     30     19 
    1     45     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     63      0 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     70      3 
    3     52     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     15     19 
    0     57     69      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     54     13 
    1     45     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     40      5 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62      5 
    3     52     49      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     23     61 
    0     54     69      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     15 
    1     74     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     41     11 
    2     64     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     30     10 
    3     35     49      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     39     13 
    0     52     69      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    102      0 
    1     62     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      1 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     32     13 
    3     47     49      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     55     70 
    0     63     69      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      6      1 
    1     46     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     18 
    2     39     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     84     19 
    3     37     49      -     11      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     43     69      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82     10 
    1     74     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      7 
    2     63     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     14     12 
    3     35     49      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     23     15 
    0     56     70      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     62      0 
    1     56     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     37     12 
    2     63     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38      8 
    3     35     49      -     11      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     47      0 
    0     48     70      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     91      7 
    1     71     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     63      5 
    2     62     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      6     16 
    3     35     49      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     90     57 
    0     55     70      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     16 
    1     72     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      8 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     60      6 
    3     51     49      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31     62 
    0     57     70      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     15 
    1     75     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      7 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62      5 
    3     52     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     23     62 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     62     70      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     30     19 
    1     45     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     62      6 
    2     64     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     70      3 
    3     53     49      -     10      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     15     59 
    0     54     70      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     16 
    1     74     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      8 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     54      7 
    3     51     49      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31     61 
    0     54     70      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     15 
    1     76     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      8 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62      6 
    3     53     49      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     23     61 
    0     58     70      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     13 
    1     46     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     42     11 
    2     64     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     30     19 
    3     42     49      -     10      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95     54 
    0     51     70      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     15 
    1     46     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
    2     63     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22      0 
    3     49     50      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     61 
    0     42     70      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     42     70      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     42     70      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     42     70      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
