# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     46     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     54      0 
    1     52     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     79      1 
    2     57     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     69      3 
    3     36     50      -     10      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     50     67 
    0     47     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     89      8 
    1     78     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      7      5 
    2     40     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     54      6 
    3     51     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     16      7 
    0     51     75      -      9      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     73     12 
    1     80     74      -      9      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     23     19 
    2     51     54      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46     15 
    3     35     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     94     56 
    0     47     76      -      7      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     65      0 
    1     52     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     71      3 
    2     61     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      7 
    3     51     50      -      8      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     23      7 
    0     52     76      -      8      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     50     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      7 
    2     64     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      7 
    3     36     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     64     64 
    0     47     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      2     19 
    1     49     74      -     10      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     79      1 
    2     59     54      -      7      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     61      6 
    3     49     50      -      9      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     16      8 
    0     51     76      -      7      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     80     10 
    1     80     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     16      0 
    2     41     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38     17 
    3     40     50      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     64     22 
    0     47     76      -      8      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     42     18 
    1     49     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     55     12 
    2     40     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     84      8 
    3     36     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     66     64 
    0     47     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      2     20 
    1     49     74      -      7      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     79      1 
    2     58     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     60      6 
    3     49     50      -     10      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     17      8 
    0     52     76      -      8      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66     13 
    1     80     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     11 
    2     64     54      -      9      3      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     15      3 
    3     36     51      -      9      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     50     67 
    0     47     76      -      6      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     19 
    1     49     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     79      1 
    2     60     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22      0 
    3     36     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     41     21 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     76      -      9      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     16 
    1     49     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     55      6 
    2     65     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38     11 
    3     49     51      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     39      1 
    0     54     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     50     17 
    1     56     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     15 
    2     40     54      -      7      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62     10 
    3     36     51      -     11      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     82     60 
    0     47     76      -      9      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     19     19 
    1     49     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     82     10 
    2     40     54      -     10      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     78      1 
    3     51     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     13 
    0     50     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     50     74      -      7      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     79      1 
    2     59     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     54      7 
    3     50     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     23      7 
    0     56     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      8 
    1     49     74      -      9      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     29     14 
    2     67     54      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     30     19 
    3     39     51      -     12      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     71     54 
