# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     45     72      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      1 
    2     39     51      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38     16 
    3     34     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     69     62 
    0     44     72      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      2     13 
    1     50     69      -      8      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     51     14 
    2     39     51      -      7      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     69      4 
    3     43     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     39      0 
    0     44     72      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     41      6 
    1     73     69      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     23      6 
    2     39     51      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38     11 
    3     39     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     50     57 
    0     44     72      -      6      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      2     14 
    1     46     69      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     36     12 
    2     58     51      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38     15 
    3     34     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31     11 
    0     48     73      -      8      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     39     13 
    1     46     70      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     30      1 
    2     39     51      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     33      0 
    3     45     48      -     10      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     23     11 
    0     50     72      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     10     13 
    1     46     70      -     10      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     41     11 
    2     59     51      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38      0 
    3     35     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      2     13 
    0     46     73      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     14 
    1     46     70      -      9      3      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      2     16 
    2     39     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     49     14 
    3     34     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     58     11 
    0     45     72      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66      1 
    1     68     70      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6     12 
    2     39     51      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     54      7 
    3     43     48      -      8      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     48     54 
    0     44     72      -      6      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     50     11 
    1     46     70      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     62      5 
    2     58     51      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     14      0 
    3     36     48      -      7      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     42     13 
    0     45     73      -      9      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      5 
    1     46     70      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
    2     65     51      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38     13 
    3     37     48      -      9      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     48     59 
    0     45     73      -      8      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     10     14 
    1     46     70      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      0 
    2     39     51      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     24      1 
    3     45     48      -     11      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31      9 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     50     73      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     10     13 
    1     46     70      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38     12 
    2     58     51      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     40     14 
    3     34     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     64     64 
    0     45     73      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     11 
    1     46     70      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      7 
    2     62     51      -     10      3      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     21      6 
    3     35     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     33     12 
    0     46     73      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     70      -      7      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     10 
    2     39     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     54      7 
    3     45     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     54     54 
    0     44     73      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     63     11 
    1     54     70      -     10      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     42     14 
    2     39     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     70      3 
    3     46     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     39     12 
    0     45     73      -      7      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      9 
    1     46     70      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     62      5 
    2     62     51      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22      8 
    3     34     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     40     57 
    0     45     73      -      9      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     10     13 
    1     46     70      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     41     11 
    2     65     51      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38      0 
    3     46     48      -      8      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      7      1 
    0     57     73      -      6      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     41     13 
    1     46     70      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     60      6 
    2     61     52      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     21     11 
    3     38     48      -      9      3      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     56     58 
    0     45     73      -      6      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     19     13 
    1     46     70      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      1 
    2     39     51      -      5      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     34      0 
    3     56     48      -     11      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      2     14 
    0     47     73      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     56      1 
    1     69     70      -      7      2      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6     10 
    2     39     51      -      6      2      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     54      7 
    3     44     48      -      6      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     47     54 
