# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     50     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     22 
    1     49     73      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     81     15 
    2     39     52      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     51     19 
    3     44     48      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31      2 
    0     60     75      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     46      2 
    1     50     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     43     10 
    2     67     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     61      6 
    3     58     49      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     23      7 
    0     65     75      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     22     11 
    1     49     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     70      3 
    2     58     52      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      8 
    3     36     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     74     61 
    0     51     75      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82      9 
    1     79     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     12 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     16 
    3     36     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     90     57 
    0     52     75      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66     13 
    1     83     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     44     10 
    2     68     52      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     12 
    3     36     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    103     19 
    0     66     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     24 
    1     49     74      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54     18 
    2     42     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     48     19 
    3     45     49      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     39      1 
    0     64     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     38      0 
    1     55     74      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      7 
    2     63     52      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     70      3 
    3     75     49      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     52     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     78      0 
    1     58     74      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     37     12 
    2     68     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46      9 
    3     56     49      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     15 
    0     69     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     52     74      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     19 
    2     59     52      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     31     19 
    3     48     49      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     24      0 
    0     47     75      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     98      5 
    1     71     74      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     78      1 
    2     55     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     10 
    3     36     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
    0     48     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     17     24 
    1     73     74      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      0 
    2     40     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     63      5 
    3     78     50      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
