# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     53     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     90      7 
    1     69     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     14 
    2     40     53      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     53      0 
    3     52     49      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     82     60 
    0     70     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82     10 
    1     78     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     70      3 
    2     58     53      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     71      3 
    3     77     49      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     54 
    0     68     76      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     22      0 
    1     53     73      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     12 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62      0 
    3     39     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     58     66 
    0     66     76      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     38     11 
    1     49     73      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     78      2 
    2     57     53      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     19 
    3     47     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31      0 
    0     55     77      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     15 
    1     49     73      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84      5 
    2     61     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     14 
    3     36     50      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     72     24 
    0     51     77      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    101      0 
    1     51     73      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     34      0 
    2     41     53      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     63      5 
    3     77     50      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     13 
    0     67     77      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    120      0 
    1     65     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     18 
    2     43     53      -     13      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     47      0 
    3     49     50      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     23     10 
    0     49     77      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     74     11 
    1     81     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     14 
    2     40     53      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     58     19 
    3     43     50      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     40      3 
    0     49     77      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     74      0 
    1     55     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     15 
    2     40     53      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     55     19 
    3     46     50      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     39      0 
    0     56     77      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66     13 
    1     75     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     78      2 
    2     58     53      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     19 
    3     49     50      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     25      9 
    0     49     77      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     64     14 
    1     81     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      7 
    2     63     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     13 
    3     36     50      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     72     24 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     48     77      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    121      0 
    1     63     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      8     15 
    2     69     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      6     10 
    3     37     50      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     21 
    0     49     77      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     16 
    1     80     73      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6      9 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     19 
    3     40     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      1     78 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
