# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     69     75      -     13      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    106      4 
    1     69     71      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     10 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     64     19 
    3     38     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     48      0 
    0     57     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     42     19 
    1     78     71      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     22      5 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     13 
    3     36     49      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95     21 
    0     49     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     10     26 
    1     66     71      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      0 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     71      3 
    3     77     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     24 
    0     49     76      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     19     23 
    1     80     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      7      7 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     14 
    3     36     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95     23 
    0     49     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     10     25 
    1     72     72      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     30      3 
    2     40     53      -     13      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     79      1 
    3     76     49      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     54 
    0     55     76      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     71     28 
    1     52     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     15 
    2     40     53      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     55     19 
    3     43     50      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     42     76 
    0     48     76      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66     13 
