# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     52     77      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     90      0 
    1     53     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84      0 
    2     55     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     68      4 
    3     70     49      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
    0     49     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     50     17 
    1     80     72      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     14      6 
    2     40     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     10 
    3     36     49      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    103     19 
    0     60     77      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      3 
    1     49     72      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
    2     61     52      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     79      1 
    3     75     49      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
    0     49     77      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     57     16 
    1     79     72      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      7     12 
    2     67     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     10 
    3     36     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95     21 
    0     59     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     18     23 
    1     76     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     30      0 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      8 
    3     37     50      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
    0     49     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     15 
    1     81     72      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6      7 
    2     40     52      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     11 
    3     36     49      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95     20 
    0     59     77      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      5 
    1     49     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      1 
    2     40     52      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     79      1 
    3     76     49      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
    0     49     77      -     13      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     62      0 
    1     57     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38     12 
    2     68     52      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     23      3 
    3     37     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     82     59 
    0     50     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     19      0 
    1     61     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      2     18 
    2     69     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     14      0 
    3     44     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    104      0 
    0     60     77      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     48      0 
    1     56     73      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      0 
    2     45     53      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     69      4 
    3     69     50      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     96     56 
    0     49     77      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     47     18 
    1     78     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     14      0 
    2     43     53      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     19 
    3     43     50      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     56     24 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     62     77      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      2     27 
    1     62     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     19 
    2     63     53      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     30      3 
    3     37     50      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     99     55 
    0     47     77      -      5      2      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
