# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     75      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    104      4 
    1     70     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     19 
    2     72     53      -     12      4      0      0      -      -    715   1328      0      0  14269      2      0      0      0      0     30      4 
    3     37     48      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     15 
    0     48     75      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     22     20 
    1     79     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     23      5 
    2     48     53      -     10      4      0      0      -      -    715   1328      0      0  14269      2      0      0      0      0     85     15 
    3     36     48      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     72     54 
    0     68     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66     13 
    1     82     73      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     12 
    2     48     53      -     10      4      0      0      -      -    715   1328      0      0  14269      2      0      0      0      0     65     19 
    3     46     48      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     33     71 
    0     54     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     78      0 
    1     51     73      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     37     12 
    2     86     53      -     10      4      0      0      -      -    715   1328      0      0  14269      2      0      0      0      0      0     14 
    3     36     49      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95      0 
    0     65     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     51     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     37     12 
    2     86     54      -     15      6      0      0      -      -    715   1328      0      0  14269      2      0      0      0      0      0      5 
    3     68     49      -     13      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     15 
    0     50     76      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      2     27 
    1     62     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     41     19 
    2     68     53      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     16      6 
    3     37     49      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
    0     57     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     62      1 
    1     50     73      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     43     10 
    2     68     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     71      3 
    3     78     49      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     24 
    0     48     76      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     15 
    1     82     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     12 
    2     40     53      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     63     19 
    3     42     49      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     55     78 
    0     48     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     74      0 
    1     55     73      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     60      6 
    2     63     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     10 
    3     36     49      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     20 
    0     50     76      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      2      0 
    1     64     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     16 
    2     40     53      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     16 
    3     36     49      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     66     24 
    0     49     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     64     14 
    1     80     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     10 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     60     19 
    3     42     49      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     78 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     51     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    115      1 
    1     67     73      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85      5 
    2     60     53      -     13      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
    3     35     49      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
