# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     50     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     96      0 
    1     60     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     32     13 
    2     68     52      -     13      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     55      7 
    3     64     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     23 
    0     48     76      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     15 
    1     80     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6      9 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     16 
    3     36     49      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     72     24 
    0     48     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82      0 
    1     55     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     15      6 
    2     40     53      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     55      7 
    3     68     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     99     55 
    0     58     76      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      8     26 
    1     66     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      0 
    2     41     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     71      3 
    3     77     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     16 
    0     49     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     70      0 
    1     58     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     39     12 
    2     68     52      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     63      5 
    3     69     49      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      1     14 
    0     50     76      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    120      0 
    1     63     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     16 
    2     40     53      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     52     19 
    3     46     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     39      3 
    0     55     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66     13 
    1     79     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
    2     60     53      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     12 
    3     36     50      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     97     21 
    0     49     76      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     41     20 
    1     80     73      -     13      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     22      5 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
    3     42     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      2     21 
    0     49     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     15 
    1     80     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46     10 
    2     66     53      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     76      2 
    3     78     50      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     17 
    0     50     76      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     10     25 
    1     70     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      3 
    2     41     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     79      8 
    3     36     50      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     54 
    0     61     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     46      0 
    1     55     73      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      7 
    2     63     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     10 
    3     36     50      -     13      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    113      0 
    1     62     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     25     15 
    2     68     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      9 
    3     36     50      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     54 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
