# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     50     75      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      6 
    1     72     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     17 
    2     42     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46     19 
    3     48     48      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     25     71 
    0     48     75      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      8     26 
    1     65     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     19 
    2     67     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22      5 
    3     37     49      -     14      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     99     55 
    0     48     75      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     42     19 
    1     80     72      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     22      5 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     45     10 
    3     56     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     74     61 
    0     47     75      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     54      1 
    1     49     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46     10 
    2     68     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     15 
    3     38     49      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     64     24 
    0     51     75      -     13      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     98      6 
    1     69     72      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85      8 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     63      5 
    3     70     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     99     55 
    0     47     75      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     46      0 
    1     55     73      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     12 
