# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     68     73      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     49     70      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     16 
    2     48     50      -     13      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38      2 
    3     37     47      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     90     57 
    0     45     73      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    110      0 
    1     60     70      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     50      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     71      3 
    3     76     47      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
    0     51     73      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     73      0 
    1     57     70      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      6 
    2     39     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     13 
    3     36     47      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     97     56 
    0     45     73      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    103      0 
    1     59     70      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      2     18 
    2     66     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      6      8 
    3     36     48      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
    0     45     73      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    118      0 
    1     63     70      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     16 
    2     39     51      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     54     19 
    3     43     48      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     41      2 
    0     53     73      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     14 
    1     47     70      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     14 
    2     39     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     58      0 
    3     54     48      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     58     66 
    0     46     73      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    106      3 
    1     67     70      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     10 
    2     39     51      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     69     18 
    3     35     48      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     64     24 
    0     47     73      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     50     17 
    1     79     70      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     14      7 
    2     39     51      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     13 
    3     36     48      -     14      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95     55 
    0     45     73      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    101      0 
    1     59     70      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     58     19 
    2     51     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38      1 
    3     37     48      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     96     56 
    0     45     73      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    110      0 
    1     60     70      -     13      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      2     19 
    2     67     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     36     12 
    3     55     48      -     14      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     15 
    0     49     73      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    115      0 
    1     50     70      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     12 
    2     39     51      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      9 
    3     36     48      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     19 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     50     73      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     90      8 
    1     74     70      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     70      4 
    2     56     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
    3     63     48      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     92     57 
    0     44     73      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     51      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     44     73      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     51      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     44     73      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     51      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     44     73      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     51      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     44     73      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     51      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     44     73      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     51      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     44     73      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     51      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     44     73      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     51      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
