# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     52     75      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     74     11 
    1     80     71      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
    2     58     52      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     19 
    3     45     48      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31      3 
    0     64     75      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     23      9 
    1     48     71      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     62      5 
    2     60     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     19 
    3     39     48      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     57     24 
    0     56     75      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     41     20 
    1     76     72      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     23     18 
    2     66     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      7      6 
    3     36     48      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    104     54 
    0     52     75      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82      9 
    1     76     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      7 
    2     63     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     70      3 
    3     75     48      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     99     55 
    0     49     75      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      1     28 
    1     64     72      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     39     19 
    2     66     52      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22      4 
    3     37     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     91     57 
    0     50     75      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    114      1 
    1     66     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84      8 
    2     40     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     12 
    3     36     48      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    103     18 
    0     65     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      3 
    1     65     72      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     10 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     14 
    3     36     48      -     16      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95     20 
    0     64     75      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    114      2 
    1     68     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84      8 
    2     40     52      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
    3     65     49      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     77 
    0     57     75      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     41     20 
    1     80     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6      7 
    2     40     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
    3     68     49      -     14      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     24 
    0     57     75      -     13      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      5 
    1     49     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      7 
    2     63     52      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     70      3 
    3     74     49      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     97     56 
    0     49     75      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82     10 
    1     79     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      8 
    2     62     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     70      3 
    3     74     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      7     11 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     61     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     48      0 
    1     55     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      8 
    2     40     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     12 
    3     36     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    103     60 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
