# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     44     71      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    113      0 
    1     49     68      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     10 
    2     39     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     65     16 
    3     35     46      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     64     24 
    0     65     71      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     97      6 
    1     70     68      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     15 
    2     38     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     56     19 
    3     39     46      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
    0     45     71      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     42     19 
    1     77     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     24     15 
    2     66     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46     10 
    3     56     46      -     14      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     66     63 
    0     47     71      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     14      0 
    1     50     68      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     78      1 
    2     55     49      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     10 
    3     35     46      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    103      0 
    0     51     71      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    114      2 
    1     64     68      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     19 
    2     58     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     30      2 
    3     36     46      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     23      7 
    0     67     71      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     16 
    1     46     69      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
    2     65     49      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     63      5 
    3     71     46      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     98     56 
    0     46     71      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    118      0 
    1     61     69      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     12 
    2     39     49      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     55      0 
    3     52     46      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     50     68 
    0     49     71      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     38      0 
    1     52     69      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      7 
    2     61     49      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     16 
    3     35     46      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     64     23 
