# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     48     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     80     27 
    1     53     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      0 
    2     44     52      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     19 
    3     41     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     11     75 
    0     48     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     98      5 
    1     73     74      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     10 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     69      0 
    3     57     49      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     50     78 
    0     48     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    120      0 
    1     63     74      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      1 
    2     40     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     79      1 
    3     74     49      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     54 
    0     73     77      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      5 
    1     72     74      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85      0 
    2     42     53      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     17     17 
    3     51     49      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     17     11 
    0     49     77      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     48     18 
    1     81     74      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     30      4 
    2     40     52      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
    3     72     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     20 
    0     48     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82      9 
    1     78     74      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     14      8 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     15 
    3     36     50      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     72     24 
    0     48     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    112      2 
    1     65     74      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85     17 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     50     19 
    3     47     50      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     32      7 
    0     49     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     41     19 
    1     80     74      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     22      6 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     14 
    3     36     50      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     24 
    0     49     77      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66     14 
