# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     69     76      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      6      0 
    1     52     73      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84      6 
    2     60     52      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     15 
    3     36     49      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     64     24 
    0     48     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     98      5 
    1     71     72      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     11 
    2     40     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     66     18 
    3     39     49      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     57     78 
    0     48     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66     14 
    1     82     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     52      8 
    2     65     52      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     19 
    3     40     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     56      0 
    0     51     76      -     13      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     25 
    1     49     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54     19 
    2     55     52      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38     16 
    3     51     49      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     15     11 
    0     50     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     10     25 
    1     73     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     30      4 
    2     40     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
    3     42     49      -     14      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     20 
    0     48     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     72     12 
    1     81     73      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      7 
    2     61     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     10 
    3     36     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    103     22 
    0     48     76      -     13      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     74     12 
    1     81     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     61      6 
    2     62     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     11 
    3     36     49      -     14      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    103     21 
    0     48     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82     10 
    1     74     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     78      2 
    2     56     52      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     19 
    3     47     49      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31      7 
    0     51     77      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    120      0 
    1     65     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     19 
    2     66     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22     14 
    3     56     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     66     64 
    0     57     77      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     65      0 
    1     50     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     43     11 
    2     68     52      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     70      4 
    3     77     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     88     59 
    0     48     77      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    118      0 
    1     63     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      2     19 
    2     67     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      7      7 
    3     37     49      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     54     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     79      0 
    1     59     73      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     12 
    2     68     52      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     55      7 
    3     67     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     99     55 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
