# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     63     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     33      0 
    1     54     73      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     70      3 
    2     57     50      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
    3     60     46      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     47     68 
    0     47     77      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     24 
    1     52     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     50     19 
    2     62     50      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     30      4 
    3     36     46      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     99     55 
    0     67     76      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     30     16 
    1     80     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6      8 
    2     39     50      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     66     19 
    3     39     47      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     57     78 
    0     48     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     98      5 
    1     70     73      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84      8 
    2     64     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     18 
    3     38     46      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     19 
    0     49     77      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     15 
    1     81     74      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      1 
    2     39     50      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     53      8 
    3     59     46      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     91     57 
    0     62     77      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     46      0 
    1     56     74      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      7 
    2     61     51      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     19 
    3     42     47      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     49      1 
    0     53     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     23 
    1     49     74      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     82     19 
    2     47     50      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46      2 
    3     37     47      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     82     59 
    0     53     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     62      1 
    1     50     74      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      7 
    2     62     50      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     10 
    3     35     47      -     14      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    104     21 
    0     49     77      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66     13 
    1     81     74      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     11 
    2     39     51      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     65      0 
    3     56     47      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     55      0 
    0     52     77      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     24 
    1     49     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     57     19 
    2     54     51      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38      3 
    3     37     47      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     90     57 
    0     64     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     38      0 
    1     55     74      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     22      6 
    2     39     50      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62      6 
    3     78     47      -     14      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     50     77      -     13      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    102      0 
    1     61     74      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     32     13 
    2     68     51      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     69      4 
    3     76     47      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     24 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     46      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     46      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     46      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     46      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     46      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
