# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     59     76      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     42     19 
    1     79     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38     12 
    2     66     49      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     71      3 
    3     75     46      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     78 
    0     48     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    112      0 
    1     53     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     13 
    2     39     49      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62     19 
    3     44     46      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     39      0 
    0     66     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      1 
    1     68     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     13 
    2     39     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62     19 
    3     40     46      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     55      0 
    0     52     76      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     14      0 
    1     53     74      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     13 
    2     39     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     13 
    3     35     46      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     74     24 
    0     48     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82      9 
    1     78     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     70      4 
    2     57     50      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     14 
    3     35     46      -     14      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95     24 
    0     48     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     80     10 
    1     79     74      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     62      5 
    2     55     50      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     16 
    3     35     46      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     72     24 
    0     48     76      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82      9 
    1     78     74      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     16 
    2     39     49      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     53     19 
