# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     48     75      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     15 
    1     81     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
    2     64     50      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     11 
    3     35     46      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95     23 
    0     48     75      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82     10 
    1     79     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     62      5 
    2     58     50      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     19 
    3     44     46      -     14      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      2     77 
    0     47     75      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     98      6 
    1     71     73      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     10 
    2     39     50      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     84      0 
    3     39     47      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     58     48 
    0     48     76      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     97      6 
    1     73     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6      9 
    2     39     50      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
    3     39     47      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     56     78 
    0     47     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    106      3 
    1     68     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     14 
    2     39     50      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     59     19 
    3     41     47      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     47      1 
    0     51     76      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    114      1 
    1     68     73      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84      0 
    2     50     50      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     27     15 
    3     57     47      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     74     61 
    0     57     76      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     70      0 
    1     50     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46     10 
    2     65     50      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     77      2 
    3     75     47      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     18 
    0     48     76      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66     13 
    1     82     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      4 
    2     39     50      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
    3     42     47      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     19 
    0     48     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     74     11 
    1     76     74      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      8      8 
    2     39     50      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
    3     61     47      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     33     24 
    0     49     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     42     19 
    1     79     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     14     12 
    2     67     50      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     13 
    3     35     47      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95     55 
    0     65     76      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     30      0 
    1     53     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85      0 
    2     52     50      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     20     16 
    3     51     47      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     15     12 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     52     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     22 
    1     49     74      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     82     18 
    2     54     50      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38      0 
    3     34     47      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     46      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     46      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     46      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     46      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     34     46      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     46     75      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
