# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     61     76      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     48      0 
    1     56     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     35     12 
    2     66     51      -     13      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     37     12 
    3     56     48      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     12 
    0     48     76      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     80     10 
    1     81     72      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     41     11 
    2     67     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      8 
    3     35     48      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     97     16 
    0     48     76      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     99      5 
    1     71     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     62     19 
    2     66     51      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     16      2 
    3     37     48      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     80     61 
    0     68     76      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     14      0 
    1     53     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     62      4 
    2     59     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     71      3 
    3     37     48      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     23      5 
    0     49     76      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     50     17 
    1     80     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     15      1 
    2     40     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     71      4 
    3     68     48      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     82     59 
    0     68     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     14      0 
    1     52     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     14      0 
    2     43     51      -     13      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     79      1 
    3     75     48      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     50     67 
    0     64     77      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     30      0 
    1     55     73      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
    2     60     51      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     14      3 
    3     37     49      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     82     59 
    0     71     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     58     15 
    1     79     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6      0 
