# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     48     77      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    106      3 
    1     68     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     13 
    2     40     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     55     19 
    3     45     48      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31      7 
    0     50     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      9     26 
    1     68     72      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38      1 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     78      8 
    3     36     48      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     54 
    0     65     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     56     16 
    1     79     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     44     10 
    2     65     52      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      6      8 
    3     36     48      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     54 
    0     67     77      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     22      0 
    1     53     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     78      9 
    2     40     52      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      2 
    3     75     48      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     24 
    0     48     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     30      0 
    1     53     72      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      6      8 
    2     40     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
    3     39     48      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     50     67 
    0     48     77      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     98      6 
    1     73     72      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     10 
    2     66     52      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     17 
