# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     50     77      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     10     25 
    1     80     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     32     13 
    2     68     53      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     12 
    3     36     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     75     23 
    0     50     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    118      0 
    1     63     72      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     19 
    2     67     53      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22      1 
    3     37     50      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     81     60 
    0     48     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82     10 
    1     78     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      6 
    2     63     53      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     79      1 
    3     67     50      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      2     78 
    0     51     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    114      1 
    1     66     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     10 
    2     40     53      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      3 
    3     78     50      -     14      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     13 
    0     54     77      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     74     11 
    1     80     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     11 
    2     40     53      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62     19 
    3     45     50      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     47      1 
    0     60     77      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      4 
    1     49     72      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     70      3 
    2     58     53      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     11 
    3     36     50      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    103     20 
    0     53     77      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     90      7 
    1     74     72      -     16      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     70      3 
    2     59     54      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     12 
    3     36     50      -     13      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    103     58 
    0     48     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     90      8 
    1     74     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     69      4 
    2     60     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     46      9 
    3     57     50      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     17 
    0     53     77      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     18 
    1     49     72      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     85      0 
    2     42     54      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22     16 
    3     51     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     15      9 
    0     62     77      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     10     25 
    1     67     72      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38     19 
    2     68     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     14      6 
    3     37     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      1     13 
    0     54     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     74      0 
    1     55     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      4 
    2     41     54      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     79      1 
    3     76     50      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     24 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     55     77      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     66     13 
    1     79     72      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     10 
    2     40     54      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     60     19 
    3     39     50      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     57      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
