# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     48     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     74     11 
    1     78     71      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
    2     67     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     22      4 
    3     37     50      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     99     55 
    0     52     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     19 
    1     48     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     54      8 
    2     66     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     16      4 
    3     37     50      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     90     58 
    0     53     77      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     74     11 
    1     79     72      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46      9 
    2     67     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     13 
    3     36     50      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95      0 
    0     50     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      1      0 
    1     65     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     19 
    2     56     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     38     19 
    3     48     50      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     32      1 
    0     56     77      -     11      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     64      0 
    1     57     72      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      6 
    2     41     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      8 
    3     37     51      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
    0     51     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      5 
    1     72     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     70      5 
    2     41     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      0 
    3     43     51      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
    0     58     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      7 
    1     49     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     59      6 
    2     62     54      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      3 
    3     72     51      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     91     57 
    0     53     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     17 
    1     48     72      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     10 
    2     41     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85      5 
    3     61     51      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     19 
    0     71     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     50     72      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     62      6 
    2     63     54      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      6      6 
