# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     58     77      -     64      9      0      0      -      -    715   1328      0      0   9847      2      0      -      -      0   5158    107 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0      0      0 
    0    107     78      -     61      9      0      0      -      -    715   1328      0      0   9847      2      0      -      -      0    856    587 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0      0      0 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0   9847      2      0      -      -      0      0      0 
    1    114     69      -     91     17      0      0      -      -    715   1328      0      0  14315      2      0      -      -      0     38     13 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0      0      0 
    0     59     78      -     48      6      0      0      -      -    715   1328      0      0   9847      2      0      -      -      0   5002    164 
    1     53     68      -     17      4      0      0      -      -    715   1328      0      0  14315      2      0      -      -      0      0     13 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0      0      0 
    0     58     78      -     56      5      0      0      -      -    715   1328      0      0   9847      2      0      -      -      0   5090    388 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0      0      0 
    2     48     57      -     19      4      0      0      -      -    715   1328      0      0  14319      2      0      0      0      0    274    121 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0      0      0 
    0     79     78      -     42      5      0      0      -      -    715   1328      0      0   9847      2      0      -      -      0   4961    568 
    1     45     67      -      0      0      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      0      0 
    3     36     53      -     18      3      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0    235    125 
    0     66     78      -     41      4      0      0      -      -    715   1328      0      0   9847      2      0      -      -      0   5052    570 
    1     45     67      -      0      0      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0    903      7 
    0     62     78      -     54      5      0      0      -      -    715   1328      0      0   9847      2      0      -      -      0     39    541 
    1     45     67      -      0      0      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0      0     11 
    2     40     56      -      2      0      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0     40     41 
    3     41     53      -     17      3      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0     75     62 
    0     58     78      -     14      5      0      0      -      -    715   1328      0      0   9847      2      0      -      -      0    107      3 
    1     66     68      -     17      6      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0      0     19 
    2     62     56      -     16      5      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0     30      4 
    3     38     53      -     15      5      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0     99     56 
    0     87     78      -      9      4      0      0      -      -    715   1328      0      0   9847      2      0      -      -      0      0     19 
    1     46     68      -     11      4      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0     85     16 
    2     42     56      -     12      4      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0     85     13 
    3     37     53      -     14      5      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0     95     23 
    0     49     78      -     11      4      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0     25      0 
    1     50     68      -     16      5      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0     85     10 
    2     42     56      -     11      4      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0     85     18 
    3     40     53      -     13      4      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0     64     24 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     49     77      -     14      5      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0     30      0 
    1     50     68      -     11      4      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0     77      2 
    2     59     56      -     11      4      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0     85     16 
    3     37     53      -     15      5      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0     72     54 
    0     70     77      -     10      3      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0      8      0 
    1     49     68      -     11      4      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0      0     19 
    2     70     56      -     11      4      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      6      8 
    3     38     53      -     18      6      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0    106     54 
    0     69     77      -     14      5      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0     15      0 
    1     50     68      -     16      6      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0     85     11 
    2     42     56      -     17      6      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0     68     19 
    3     42     53      -     13      4      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0     56     78 
    0     49     77      -     13      5      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0     99      5 
    1     66     68      -     12      4      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0      0     19 
    2     59     56      -     14      5      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0     30      3 
    3     38     53      -     13      4      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0    106     54 
    0     67     77      -     13      5      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0     30      0 
    1     51     68      -     17      6      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0     39     12 
    2     71     57      -     17      6      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      0     16 
    3     37     53      -     19      6      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0     66     24 
    0     49     77      -     15      5      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0     83      9 
    1     71     68      -     14      5      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0     78      2 
    2     59     57      -     15      5      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      0     19 
    3     47     53      -     14      5      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0     33      0 
    0     65     77      -     11      4      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0     90      8 
    1     73     67      -     11      4      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0     71      7 
    2     42     56      -     11      4      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0     69     19 
    3     45     53      -     13      4      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0     11     75 
    0     48     77      -     10      4      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0    121      0 
    1     63     68      -     11      4      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0     29     14 
    2     70     56      -     16      5      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      0     11 
    3     38     53      -     14      5      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0     91     57 
    0     61     77      -     11      4      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0     46      0 
    1     53     68      -     17      6      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0     30      4 
    2     43     57      -     15      5      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0     55      8 
    3     74     54      -     13      4      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0    105     54 
    0     63     77      -     14      5      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0     46      0 
    1     52     68      -     17      6      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0     62      6 
    2     63     57      -     17      6      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0     85     12 
    3     38     54      -     15      5      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0    103     23 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0      0      0 
    1     45     67      -      0      0      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0      0      0 
    2     42     56      -      0      0      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0      0      0 
    1     45     67      -      0      0      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0      0      0 
    1     45     67      -      0      0      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9847      2      0      -      -      0      0      0 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  14315      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  14319      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0  10619      2      0      0      0      0      0      0 
