# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     45     73      -      9      0      0      0      -      -    715   1189      0      0  10785      2      0      -      -      0      0   1267 
    1     41     60      -      8      0      0      0      -      -    715   1189      0      0  15217      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  15239      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0  11235      2      0      0      0      0      0      0 
    0     60     73      -     43      3      0      0      -      -    715   1328      0      0  10785      2      0      -      -      0   5048    481 
    1     41     60      -      0      0      0      0      -      -    715   1189      0      0  15217      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  15239      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0  11235      2      0      0      0      0      0      0 
    0     63     73      -     41      2      0      0      -      -    715   1328      0      0  10785      2      0      -      -      0   4621    547 
    1     41     61      -      0      0      0      0      -      -    715   1189      0      0  15217      2      0      -      -      0      0      0 
    2     45     60      -      2      1      0      0      -      -    715   1227      0      0  15239      2      0      0      0      0      0      0 
    3     37     56      -      4      1      0      0      -      -    715   1189      0      0  11235      2      0      0      0      0     55     30 
    0     84     74      -     14      5      0      0      -      -    715   1328      0      0  10785      2      0      -      -      0      0     22 
    1     42     61      -     11      4      0      0      -      -    715   1189      0      0  15217      2      0      -      -      0     82     19 
    2     61     60      -     16      6      0      0      -      -    715   1227      0      0  15239      2      0      0      0      0     30      5 
    3     39     56      -     18      6      0      0      -      -    715   1189      0      0  11235      2      0      0      0      0    105     54 
    0     80     73      -      9      4      0      0      -      -    715   1328      0      0  10785      2      0      -      -      0    112      2 
    1     61     61      -     11      4      0      0      -      -    715   1189      0      0  15217      2      0      -      -      0      0     19 
    2     67     60      -     14      5      0      0      -      -    715   1189      0      0  15239      2      0      0      0      0     25      6 
    3     39     56      -     15      5      0      0      -      -    715   1189      0      0  11235      2      0      0      0      0    105     54 
    0     64     73      -     10      3      0      0      -      -    715   1189      0      0  10785      2      0      -      -      0      0      0 
    1     44     61      -     16      6      0      0      -      -    715   1189      0      0  15217      2      0      -      -      0     46     19 
    2     73     60      -     16      5      0      0      -      -    715   1189      0      0  15239      2      0      0      0      0     22      6 
    3     39     56      -     16      5      0      0      -      -    715   1189      0      0  11235      2      0      0      0      0    105     54 
