# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     64     77      -     43      3      0      0      -      -    715   1328      0      0   9799      2      0      -      -      0   4687    535 
    1     54     72      -      2      1      0      0      -      -    715   1316      0      0  14269      2      0      -      -      0     55     32 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     16 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     66     77      -     42      3      0      0      -      -    715   1328      0      0   9799      2      0      -      -      0   4778    512 
    1     55     72      -      0      0      0      0      -      -    715   1316      0      0  14269      2      0      -      -      0      0      0 
    2     46     55      -      0      0      0      0      -      -    715   1316      0      0  14269      2      0      0      0      0      0      0 
    3     35     51      -      5      1      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     12 
    0     73     77      -     14      5      0      0      -      -    715   1328      0      0   9799      2      0      -      -      0      0      4 
    1     49     72      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     30      0 
    2     45     55      -     14      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     63      6 
    3     69     51      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
    0     77     77      -     11      4      0      0      -      -    715   1328      0      0   9799      2      0      -      -      0      2      0 
    1     60     72      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      6 
    2     42     55      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     27     15 
    3     53     52      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      7     14 
    0     48     77      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     90      8 
    1     76     72      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      1 
    2     58     55      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0     18 
    3     39     52      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     64     78 
    0     51     77      -     13      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     78      0 
    1     58     73      -     13      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38     19 
    2     69     55      -     15      5      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     14      6 
    3     38     52      -     19      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     17 
    0     48     77      -     13      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     99      5 
    1     72     72      -     13      5      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     12 
    2     41     55      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     85     14 
    3     37     52      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95     24 
    0     48     77      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      6      0 
    1     52     73      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     15 
    2     41     55      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     53     19 
    3     49     52      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31      7 
    0     50     77      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     70      0 
    1     57     73      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     46     10 
    2     68     55      -     13      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     79      1 
    3     74     52      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     20 
    0     48     77      -     14      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     20      0 
    1     53     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     13 
    2     41     55      -     12      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62     19 
    3     43     52      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     47      2 
    0     50     77      -     13      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     79      0 
    1     59     73      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38     12 
    2     69     55      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     68      4 
    3     74     52      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0     24 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     48     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    105      4 
    1     70     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     84     12 
    2     41     55      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     62     19 
    3     44     52      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     47      3 
    0     52     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0     27 
    1     51     73      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     51     19 
    2     62     55      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     30     15 
    3     53     52      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      7     13 
    0     49     77      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     82      9 
    1     78     73      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0     16 
    2     41     55      -     17      6      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     53     19 
    3     47     52      -     17      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     34      7 
    0     50     77      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     42      0 
    1     59     73      -     16      6      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0     38     12 
    2     70     55      -     11      4      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0     63      5 
    3     77     52      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     54 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     48     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     40     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  14269      2      0      -      -      0      0      0 
