tag	run	eval_tps	prompt_tps	prompt_n	predicted_n	gpu0_used	gpu1_used	gpu2_used	gpu3_used
I_120k	1	7.995956544724789	105.31636858710318	120243	256	10785MiB	15217MiB	15239MiB	11235MiB
I_1k	1	14.879654113140356	67.83541136656244	1069	256	9847MiB	14315MiB	14319MiB	10619MiB
I_1k	2	14.881929907272788	67.8549513770715	1069	256	9847MiB	14315MiB	14319MiB	10619MiB
I_1k	3	14.881833879087774	67.85486954218973	1069	256	9847MiB	14315MiB	14319MiB	10619MiB
I_32k	1	12.563822747232965	151.63818747730932	32101	256	10779MiB	15217MiB	15239MiB	11063MiB
I_32k	2	12.553633067995625	159.3179514178069	32101	256	10779MiB	15217MiB	15239MiB	11063MiB
I_64k	1	10.405164505854064	134.54415820401778	64163	256	10783MiB	15217MiB	15239MiB	11125MiB
I_8k	1	14.27295305503082	180.59165990119286	8070	256	10759MiB	15197MiB	15209MiB	11009MiB
I_8k	2	14.277534979124125	181.45603016838038	8070	256	10759MiB	15197MiB	15209MiB	11009MiB
I_8k	3	14.266689909482311	185.3721269646086	8070	256	10759MiB	15197MiB	15209MiB	11009MiB
I_post	1	14.999606846242427	8.567516781623496	46	256	10785MiB	15217MiB	15239MiB	11235MiB
I_warmup	1	15.001003485096414	8.957958063319328	48	256	9799MiB	14269MiB	14269MiB	10581MiB
I_warmup	2	14.989282077795545	8.942894032295026	48	256	9799MiB	14269MiB	14269MiB	10581MiB
I_warmup	3	15.00382832056992	8.824387518565686	48	256	9799MiB	14269MiB	14269MiB	10581MiB
