# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     58     78      -     67     10      0      0      -      -    715   1328      0      0  10759      2      0      -      -      0   5178    591 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  15197      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0    177     79      -     68      8      0      0      -      -    715   1328      0      0  10759      2      0      -      -      0     24      6 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  15197      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0     92     78      -     68      8      0      0      -      -    715   1303     41      0  10759      2      0      -      -      0     26      8 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  15197      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0     49     78      -     68      8      0      0      -      -    715   1189      0      0  10759      2      0      -      -      0      0      7 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  15197      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0     84     78      -     99     11      0      0      -      -    715    518      0      0  10759      2      0      -      -      0      9      5 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  15197      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0     69     79      -     51      5      0      0      -      -    715   1101     31      0  10759      2      0      -      -      0   5188    749 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  15197      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0     49     79      -     57      6      0      0      -      -    715   1189      0      0  10759      2      0      -      -      0   5208    589 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  15197      2      0      -      -      0      0      6 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0     48     78      -      0      0      0      0      -      -    715   1189      0      0  10759      2      0      -      -      0      0      0 
    1    196     71      -    100     21      0      0      -      -    715   1328      0      0  15197      2      0      -      -      0      1      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0  10759      2      0      -      -      0      0      0 
    1    139     71      -     78     13      0      0      -      -    715   1328      0      0  15197      2      0      -      -      0     28      8 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0     48     77      -      0      0      0      0      -      -    715   1189      0      0  10759      2      0      -      -      0   5181   1126 
    1     56     72      -    100     52      0      0      -      -    715   1316      0      0  15197      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      0      0      0      0      0 
    3     36     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0    162     79      -     44      4      0      0      -      -    715   1328      0      0  10759      2      0      -      -      0     31      8 
    1     53     69      -      0      0      0      0      -      -    715   1328      0      0  15197      2      0      -      -      0   5519      5 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     61     79      -     66     10      0      0      -      -    715   1328      0      0  10759      2      0      -      -      0   5172    586 
    1     54     70      -      0      0      0      0      -      -    715   1328      0      0  15197      2      0      -      -      0     29     92 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  15211      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0     54     78      -      0      0      0      0      -      -    715   1303      0      0  10759      2      0      -      -      0      0      0 
    1     53     69      -      0      0      0      0      -      -    715   1328      0      0  15197      2      0      -      -      0      0      0 
    2    208     60      -     71     12      0      0      -      -    715   1328      0      0  15211      2      0      0      0      0     13      1 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0     53     78      -      0      0      0      0      -      -    715   1303      0      0  10759      2      0      -      -      0      0      0 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  15197      2      0      -      -      0      0      0 
    2    235     62      -     84     18      0      0      -      -    715   1328      0      0  15211      2      0      0      0      0     18     10 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0    154     78      -     70      9      0      0      -      -    715   1316      0      0  10759      2      0      -      -      0     25    141 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  15197      2      0      -      -      0      0      0 
    2     49     59      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      0      0      0    293     94 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0     57     78      -      0      0      0      0      -      -    715   1328      0      0  10759      2      0      -      -      0   5141    590 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  15197      2      0      -      -      0      0      0 
    2     49     59      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      0      0      0      0     14 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0     49     78      -      1      0      0      0      -      -    715   1189      0      0  10759      2      0      -      -      0   1226      6 
    1     45     67      -      0      0      0      0      -      -    715   1189      0      0  15197      2      0      -      -      0      0      0 
    2     49     59      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      0      0      0    383    393 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0  11009      2      0      0      0      0      0      0 
    0     55     78      -      0      0      0      0      -      -    715   1316      0      0  10759      2      0      -      -      0   5147    587 
    1     45     67      -      0      0      0      0      -      -    715   1189      0      0  15197      2      0      -      -      0      0      0 
    2     49     59      -      0      0      0      0      -      -    715   1328      0      0  15211      2      0      0      0      0      0      0 
