# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     52     66      -     41      2      0      0      -      -    715   1328      0      0   9799      2      0      -      -      0   4697    393 
    1     49     65      -      0      0      0      0      -      -    715   1316      0      0  14269      2      0      -      -      0      0      0 
    2     50     49      -      4      1      0      0      -      -    715   1316      0      0  14269      2      0      0      0      0      0     40 
    3     47     45      -      0      0      0      0      -      -    715   1189      0      0  10557      2      0      0      0      0     75     33 
    0     65     67      -     41      2      0      0      -      -    715   1328      0      0   9799      2      0      -      -      0    185     30 
    1     92     64      -      0      0      0      0      -      -    715   1316      0      0  14269      2      0      -      -      0    127     54 
    2     43     50      -      9      3      0      0      -      -    715   1316      0      0  14269      2      0      0      0      0    626     19 
    3     41     46      -      7      2      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     95     24 
    0     51     67      -     14      5      0      0      -      -    715   1328      0      0   9799      2      0      -      -      0     10      0 
    1     54     65      -     15      6      0      0      -      -    715   1316      0      0  14269      2      0      -      -      0     32     19 
    2     75     50      -     15      6      0      0      -      -    715   1316      0      0  14269      2      0      0      0      0     38      5 
    3     37     46      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     17     15 
    0     55     67      -     14      5      0      0      -      -    715   1328      0      0   9799      2      0      -      -      0    120      0 
    1     69     65      -     15      6      0      0      -      -    715   1316      0      0  14269      2      0      -      -      0     54     19 
    2     76     50      -     11      4      0      0      -      -    715   1316      0      0  14269      2      0      0      0      0      6     12 
    3     36     46      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    103     24 
    0     48     67      -     10      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     98      5 
    1     76     65      -     13      5      0      0      -      -    715   1316      0      0  14269      2      0      -      -      0     84     19 
    2     58     50      -     11      4      0      0      -      -    715   1316      0      0  14269      2      0      0      0      0     38      5 
    3     36     46      -     18      6      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    106     54 
    0     43     67      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0     98      0 
    1     57     66      -     10      4      0      0      -      -    715   1316      0      0  14269      2      0      -      -      0     84     19 
    2     59     50      -     15      6      0      0      -      -    715   1316      0      0  14269      2      0      0      0      0     38      5 
    3     37     46      -     16      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0    105     20 
    0     59     67      -     15      5      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    118      0 
    1     67     65      -     15      6      0      0      -      -    715   1316      0      0  14269      2      0      -      -      0      0     12 
    2     77     50      -     14      5      0      0      -      -    715   1316      0      0  14269      2      0      0      0      0     85     14 
    3     39     47      -     13      4      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     56      3 
    0     64     67      -     12      4      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0    120      0 
    1     67     66      -     15      6      0      0      -      -    715   1316      0      0  14269      2      0      -      -      0     47      1 
    2     45     50      -     10      4      0      0      -      -    715   1316      0      0  14269      2      0      0      0      0     85      0 
    3     69     47      -     15      5      0      0      -      -    715   1189      0      0  10581      2      0      0      0      0     31     72 
    0     46     67      -     10      3      0      0      -      -    715   1189      0      0   9799      2      0      -      -      0      2     27 
