# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    117     77      -     61     10      0      0      -      -    715   1328      0      0   4643      2      0      -      -      0   4850    587 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  12181      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  12185      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10277      2      0      0      0      0      0      0 
    0     62     77      -     61      9      0      0      -      -    715   1328      0      0   4643      2      0      -      -      0   5096    585 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  12181      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  12185      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10277      2      0      0      0      0      0      0 
    0     95     77      -     53      5      0      0      -      -    715   1328      0      0   4643      2      0      -      -      0     46    873 
    1    135     70      -      0      0      0      0      -      -    715   1189      0      0  12181      2      0      -      -      0     26      9 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  12185      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10277      2      0      0      0      0      0      0 
    0     57     77      -     41      4      0      0      -      -    715   1328      0      0   4643      2      0      -      -      0     41    600 
    1     56     72      -     19      4      0      0      -      -    715   1328      0      0  12181      2      0      -      -      0     43    152 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  12185      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10277      2      0      0      0      0      0      0 
    0     58     77      -     49      4      0      0      -      -    715   1328      0      0   4643      2      0      -      -      0   4980    511 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  12181      2      0      -      -      0      0      0 
    2     47     54      -     20      4      0      0      -      -    715   1328      0      0  12185      2      0      0      0      0    126    159 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0  10277      2      0      0      0      0      0      0 
    0     94     77      -     40      4      0      0      -      -    715   1328      0      0   4643      2      0      -      -      0   5074    575 
    1     47     70      -      0      0      0      0      -      -    715   1189      0      0  12181      2      0      -      -      0      0      0 
    2     47     54      -      3      0      0      0      -      -    715   1328      0      0  12185      2      0      0      0      0      0      0 
    3     35     50      -      1      0      0      0      -      -    715   1189      0      0  10277      2      0      0      0      0    753     65 
    0     57     77      -     42      3      0      0      -      -    715   1328      0      0   4643      2      0      -      -      0     40    235 
    1     47     70      -      0      0      0      0      -      -    715   1189      0      0  12181      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  12185      2      0      0      0      0      0      0 
    3     99     51      -      0      0      0      0      -      -    715   1189      0      0  10277      2      0      0      0      0      0      0 
