# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     70     73      -     38      2      0      0      -      -    715   1328      0      0   4593      2      0      -      -      0   5104    480 
    1     54     71      -     19      4      0      0      -      -    715   1316      0      0  12135      2      0      -      -      0     57      3 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12135      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10239      2      0      0      0      0      0      0 
    0     56     73      -     43      3      0      0      -      -    715   1328      0      0   4593      2      0      -      -      0   4170    464 
    1     53     70      -      0      0      0      0      -      -    715   1316      0      0  12135      2      0      -      -      0      0      0 
    2     44     52      -      0      0      0      0      -      -    715   1316      0      0  12135      2      0      0      0      0      0      0 
    3     37     48      -      2      1      0      0      -      -    715   1189      0      0  10239      2      0      0      0      0      0      4 
    0     59     73      -     12      5      0      0      -      -    715   1328      0      0   4593      2      0      -      -      0    105      0 
    1     65     71      -     16      6      0      0      -      -    715   1189      0      0  12135      2      0      -      -      0     69     17 
    2     48     52      -     15      5      0      0      -      -    715   1189      0      0  12135      2      0      0      0      0     46      0 
    3     38     49      -     12      4      0      0      -      -    715   1189      0      0  10239      2      0      0      0      0     73     10 
    0     54     73      -     14      5      0      0      -      -    715   1328      0      0   4593      2      0      -      -      0    102      0 
    1     61     71      -     11      4      0      0      -      -    715   1189      0      0  12135      2      0      -      -      0     12     14 
    2     69     53      -     16      6      0      0      -      -    715   1189      0      0  12135      2      0      0      0      0     55      4 
    3     78     49      -     13      5      0      0      -      -    715   1189      0      0  10239      2      0      0      0      0      0     22 
    0     52     73      -     14      5      0      0      -      -    715   1189      0      0   4593      2      0      -      -      0     70      0 
    1     56     71      -     11      4      0      0      -      -    715   1189      0      0  12135      2      0      -      -      0     27     10 
    2     69     52      -     11      4      0      0      -      -    715   1189      0      0  12135      2      0      0      0      0     62      2 
    3     75     49      -     14      5      0      0      -      -    715   1189      0      0  10239      2      0      0      0      0     90      0 
    0     61     73      -     10      4      0      0      -      -    715   1189      0      0   4593      2      0      -      -      0      2     25 
    1     67     71      -     13      4      0      0      -      -    715   1189      0      0  12135      2      0      -      -      0     38      1 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  12135      2      0      0      0      0     63      8 
    3     36     49      -     15      5      0      0      -      -    715   1189      0      0  10239      2      0      0      0      0     75     57 
    0     70     73      -     11      4      0      0      -      -    715   1189      0      0   4593      2      0      -      -      0     83      5 
    1     70     71      -     13      5      0      0      -      -    715   1189      0      0  12135      2      0      -      -      0      0     17 
    2     55     53      -     11      4      0      0      -      -    715   1189      0      0  12135      2      0      0      0      0     38      1 
    3     37     49      -     15      5      0      0      -      -    715   1189      0      0  10239      2      0      0      0      0     15     11 
    0     46     73      -     12      4      0      0      -      -    715   1189      0      0   4593      2      0      -      -      0     91      3 
    1     67     71      -     15      5      0      0      -      -    715   1189      0      0  12135      2      0      -      -      0     69     12 
    2     40     53      -     12      4      0      0      -      -    715   1189      0      0  12135      2      0      0      0      0     55     17 
    3     47     49      -     14      5      0      0      -      -    715   1189      0      0  10239      2      0      0      0      0     18     71 
    0     51     73      -     11      4      0      0      -      -    715   1189      0      0   4593      2      0      -      -      0     78     26 
    1     70     71      -     14      5      0      0      -      -    715   1189      0      0  12135      2      0      -      -      0     38      2 
    2     41     53      -     11      4      0      0      -      -    715   1189      0      0  12135      2      0      0      0      0     69      8 
    3     37     49      -     15      5      0      0      -      -    715   1189      0      0  10239      2      0      0      0      0     75     57 
    0     70     73      -     12      4      0      0      -      -    715   1189      0      0   4593      2      0      -      -      0     91      3 
    1     69     71      -     15      5      0      0      -      -    715   1189      0      0  12135      2      0      -      -      0      0     17 
    2     62     53      -     12      4      0      0      -      -    715   1189      0      0  12135      2      0      0      0      0     30      3 
    3     37     50      -     14      5      0      0      -      -    715   1189      0      0  10239      2      0      0      0      0     89     14 
    0     46     73      -     14      5      0      0      -      -    715   1189      0      0   4593      2      0      -      -      0     91      2 
    1     63     71      -     16      6      0      0      -      -    715   1189      0      0  12135      2      0      -      -      0      0     17 
    2     68     53      -     15      5      0      0      -      -    715   1189      0      0  12135      2      0      0      0      0     14      6 
    3     36     50      -     12      4      0      0      -      -    715   1189      0      0  10239      2      0      0      0      0     80     22 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
