# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     82     77      -     42      2      0      0      -      -    715   1328      0      0   4627      2      0      -      -      0   5087    581 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  12533      2      0      -      -      0      0      0 
    2     38     52      -      0      0      0      0      -      -    715   1189      0      0  12485      2      0      0      0      0      0      0 
    3     34     49      -      0      0      0      0      -      -    715   1189      0      0   6037      2      0      0      0      0      0      0 
    0     74     77      -     38      2      0      0      -      -    715   1328      0      0   4627      2      0      -      -      0   4860    556 
    1     49     73      -      2      1      0      0      -      -    715   1189      0      0  12615      2      0      -      -      0    484    214 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12485      2      0      0      0      0      0      0 
    3     34     49      -      0      0      0      0      -      -    715   1189      0      0   6037      2      0      0      0      0      0      0 
    0     74     77      -     40      3      0      0      -      -    715   1328      0      0   4627      2      0      -      -      0   4565    375 
    1     55     73      -      0      0      0      0      -      -    715   1316      0      0  12641      2      0      -      -      0      0      0 
    2     44     52      -      0      0      0      0      -      -    715   1316      0      0  12593      2      0      0      0      0      0      0 
    3     36     49      -      4      1      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      2     39 
    0     80     77      -      5      2      0      0      -      -    715   1328      0      0   4627      2      0      -      -      0     30     11 
    1     50     73      -     15      5      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0     70     12 
    2     45     52      -     11      4      0      0      -      -    715   1316      0      0  12593      2      0      0      0      0     53     18 
    3     50     49      -     14      5      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0     23     10 
    0     64     78      -     14      5      0      0      -      -    715   1328      0      0   4627      2      0      -      -      0     71      0 
    1     51     73      -     16      6      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0     31      9 
    2     67     52      -     16      6      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0     40      7 
    3     77     49      -     19      6      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0     77 
    0     72     77      -     11      4      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0     75      8 
    1     76     73      -     11      4      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0     64      1 
    2     56     52      -     16      6      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0      0     18 
    3     52     49      -     17      6      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0     23      9 
    0     48     77      -     10      3      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0    106     20 
    1     50     73      -     11      4      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0     67      0 
    2     48     53      -     11      4      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0     31     10 
    3     64     49      -     14      5      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0     90     54 
    0     64     77      -     15      5      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      9     23 
    1     50     73      -     11      4      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0     56     17 
    2     62     52      -     12      4      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0     30      4 
    3     37     49      -     13      4      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0     90     54 
    0     72     77      -     14      5      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      8 
    1     79     73      -     16      6      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0      6      8 
    2     40     52      -     12      4      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0     67     18 
    3     47     50      -     13      4      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0     39      5 
    0     49     77      -     12      4      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0     16     13 
    1     50     74      -     11      4      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0     70     12 
    2     40     53      -     16      6      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0     52     18 
    3     50     50      -     13      5      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0     31      7 
    0     48     77      -     10      3      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0     99     16 
    1     50     74      -     11      4      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0     70     17 
    2     49     53      -     16      6      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0     41     16 
    3     51     50      -     16      5      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0     15     11 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     48     77      -     10      3      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0    106     20 
    1     50     74      -     15      5      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0     67     17 
    2     67     53      -     16      6      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0     22     13 
    3     56     50      -     19      6      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0      0 
    0     50     77      -     13      5      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0     18     22 
    1     82     74      -     16      6      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0     14      6 
    2     40     53      -     13      4      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0     70     15 
    3     38     50      -     14      5      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0     64     77 
    0     48     77      -     14      5      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0    103      0 
    1     53     74      -     17      6      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0     70      0 
    2     48     53      -     15      5      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0     37      8 
    3     68     50      -     15      5      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0     89     55 
    0     65     77      -     12      4      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0     46      6 
    1     51     74      -     12      4      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0     22      4 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0     70     10 
    3     36     50      -     13      4      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0     88     20 
    0     49     77      -     15      5      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0     46      5 
    1     51     74      -     17      6      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0     30      3 
    2     41     53      -     11      4      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0     70     10 
    3     36     50      -     13      4      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0     88     20 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      0 
    1     49     73      -      0      0      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      0 
    1     49     73      -      0      0      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      0 
    1     49     73      -      0      0      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      0 
    1     49     73      -      0      0      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      0 
    1     49     73      -      0      0      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      0 
    1     49     73      -      0      0      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      0 
    1     49     73      -      0      0      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      0 
    1     49     73      -      0      0      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      0 
    1     49     73      -      0      0      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      0 
    1     49     73      -      0      0      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      0 
    1     49     73      -      0      0      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      0 
    1     49     73      -      0      0      0      0      -      -    715   1189      0      0  12641      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12593      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   6145      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4627      2      0      -      -      0      0      0 
