# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     77      -     53      5      0      0      -      -    715   1328      0      0   3213      2      0      -      -      0     48     10 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10973      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10977      2      0      0      0      0      0      0 
    3     37     55      -      0      0      0      0      -      -    715   1189      0      0   6181      2      0      0      0      0      0      0 
    0     67     78      -     60      9      0      0      -      -    715   1328      0      0   3213      2      0      -      -      0   5114    583 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10973      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10977      2      0      0      0      0      0      0 
    3     37     55      -      0      0      0      0      -      -    715   1189      0      0   6181      2      0      0      0      0      0      0 
    0     59     78      -     53      5      0      0      -      -    715   1328      0      0   3213      2      0      -      -      0   5136    585 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10973      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10977      2      0      0      0      0      0      0 
    3     37     55      -      0      0      0      0      -      -    715   1189      0      0   6181      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0   3213      2      0      -      -      0   5112    583 
    1     58     67      -     93     19      0      0      -      -    715   1328      0      0  10973      2      0      -      -      0      0    786 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10977      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   6181      2      0      0      0      0      0      0 
    0     59     78      -     54      5      0      0      -      -    715   1328      0      0   3213      2      0      -      -      0   5023    524 
    1     50     65      -     18      4      0      0      -      -    715   1328      0      0  10973      2      0      -      -      0    908    725 
    2    119     59      -      0      0      0      0      -      -    715   1189      0      0  10977      2      0      0      0      0     31     69 
    3     37     55      -      0      0      0      0      -      -    715   1189      0      0   6181      2      0      0      0      0      0      0 
    0     58     78      -     40      4      0      0      -      -    715   1328      0      0   3213      2      0      -      -      0   5078    189 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  10973      2      0      -      -      0      0      0 
    2     51     60      -     19      4      0      0      -      -    715   1328      0      0  10977      2      0      0      0      0      0     45 
    3     37     55      -      0      0      0      0      -      -    715   1189      0      0   6181      2      0      0      0      0      0      0 
    0     58     78      -     52      4      0      0      -      -    715   1328      0      0   3213      2      0      -      -      0   2948    735 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  10973      2      0      -      -      0      0      0 
