tag	run	eval_tps	prompt_tps	prompt_n	predicted_n	gpu0_used	gpu1_used	gpu2_used	gpu3_used
L_f16_fa0_ctx4096_1k	1	14.494897824276203	68.28211562927633	1079	256	4675MiB	12685MiB	12641MiB	6181MiB
L_f16_fa0_ctx4096_1k	2	14.49588356543923	68.51659352515017	1079	256	4675MiB	12685MiB	12641MiB	6181MiB
L_f16_fa0_ctx4096_1k	3	14.488892707315822	68.55883545796888	1079	256	4675MiB	12685MiB	12641MiB	6181MiB
L_f16_fa0_ctx4096_warmup	1	15.067624794953758	9.657784723982179	58	256	4627MiB	12641MiB	12593MiB	6145MiB
L_f16_fa0_ctx4096_warmup	2	15.063590712825588	10.114157448832826	58	256	4627MiB	12641MiB	12593MiB	6145MiB
L_f16_fa0_ctx4096_warmup	3	15.075454416006929	10.03012669606416	58	256	4627MiB	12641MiB	12593MiB	6145MiB
L_f16_fa1_ctx4096_1k	1	14.951580241860498	68.50005573961904	1079	256	3213MiB	10973MiB	10977MiB	6181MiB
L_f16_fa1_ctx4096_1k	2	14.947016330315982	68.56445538566807	1079	256	3213MiB	10973MiB	10977MiB	6181MiB
L_f16_fa1_ctx4096_1k	3	14.940193994917415	68.46359383360657	1079	256	3213MiB	10973MiB	10977MiB	6181MiB
L_f16_fa1_ctx4096_warmup	1	14.973187466412684	9.706013226618508	58	256	3165MiB	10929MiB	10929MiB	6145MiB
L_f16_fa1_ctx4096_warmup	2	14.961150101011139	10.111128272911207	58	256	3165MiB	10929MiB	10929MiB	6145MiB
L_f16_fa1_ctx4096_warmup	3	14.962848299746998	10.080876438349879	58	256	3165MiB	10929MiB	10929MiB	6145MiB
