# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     68     73      -     45      3      0      0      -      -    715   1328      0      0   2843      2      0      -      -      0   5072    582 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     59     73      -     14      1      0      0      -      -    715   1328      0      0   2843      2      0      -      -      0   4863    413 
    1     79     71      -     21      5      0      0      -      -    715   1328      0      0  10235      2      0      -      -      0      0     39 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     66     74      -     42      3      0      0      -      -    715   1328      0      0   2843      2      0      -      -      0   4621    398 
    1     54     71      -      0      0      0      0      -      -    715   1328      0      0  10235      2      0      -      -      0      0      0 
    2     45     53      -      0      0      0      0      -      -    715   1316      0      0  10223      2      0      0      0      0      0      0 
    3     37     49      -      5      1      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0     12 
    0     57     74      -     12      5      0      0      -      -    715   1328      0      0   2843      2      0      -      -      0     10     23 
    1     69     71      -     12      4      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0     38      0 
    2     51     53      -     14      5      0      0      -      -    715   1316      0      0  10223      2      0      0      0      0     54      4 
    3     67     50      -     15      5      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0     15      9 
    0     83     74      -     10      4      0      0      -      -    715   1328      0      0   2843      2      0      -      -      0     57     12 
    1     78     71      -     11      4      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0     30     10 
    2     68     53      -     16      6      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0     10 
    3     36     50      -     13      4      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0     16 
    0     68     74      -     15      5      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0     82      6 
    1     72     71      -     13      5      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0     47      5 
    2     61     53      -     12      4      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0     15 
    3     36     50      -     13      5      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0     72     20 
    0     69     74      -     15      5      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0     59     10 
    1     79     71      -     16      5      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0     31      9 
    2     68     53      -     11      4      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0     10 
    3     36     50      -     15      5      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0     82     16 
    0     67     74      -     14      5      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0     22      9 
    1     48     71      -     16      6      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0     70      6 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0     70      9 
    3     36     50      -     16      5      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0     90     14 
    0     65     74      -     13      4      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0     15     17 
    1     79     71      -     16      6      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0     14      3 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0     70      5 
    3     37     50      -     18      6      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0     90     54 
    0     51     74      -     12      4      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0     59     11 
    1     78     71      -     16      6      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      8 
    2     40     53      -     15      5      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0     70     11 
    3     36     50      -     19      6      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0     88     16 
    0     66     74      -     11      4      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0     14     10 
    1     48     71      -     16      5      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0     55      3 
    2     58     53      -     13      4      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0     70      0 
    3     43     50      -     19      6      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0     90     54 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     51     74      -     15      5      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0     76      7 
    1     76     71      -     16      5      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0     47      6 
    2     64     53      -     11      4      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0     56      3 
    3     72     50      -     15      5      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0     76     57 
    0     52     74      -     14      5      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0     51     13 
    1     80     71      -     16      6      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0     26     11 
    2     69     54      -     11      4      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0     31      9 
    3     57     50      -     16      5      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0     51     63 
    0     59     74      -     14      5      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0    103     16 
    1     48     71      -     11      4      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0     70      0 
    2     53     54      -     11      4      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0     18 
    3     49     50      -     16      5      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0     31      2 
    0     47     74      -     15      5      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0     51     14 
    1     79     71      -     17      6      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      6      0 
    2     44     54      -     15      5      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0     70      5 
    3     37     51      -     14      5      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0     90     54 
    0     61     74      -     12      4      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0    100      0 
    1     66     72      -     13      4      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0     16 
    2     44     54      -     11      4      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0     47     18 
    3     40     51      -     13      4      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0     56     21 
    0     52     74      -     10      3      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0     70     21 
    1     48     72      -     11      4      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0     56      7 
    2     41     54      -     11      4      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0     70      8 
    3     56     51      -     13      4      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     44     74      -      0      0      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
    0     45     74      -      0      0      0      0      -      -    715   1189      0      0   2843      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10235      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  10223      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3109      2      0      0      0      0      0      0 
