# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     86     71      -     45      3      0      0      -      -    715   1328      0      0   4083      2      0      -      -      0   5125    587 
    1     45     68      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0      0      0 
    2     39     51      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0      0      0 
    0     64     71      -     39      2      0      0      -      -    715   1328      0      0   4083      2      0      -      -      0   5082    447 
    1     51     69      -     67     15      0      0      -      -    715   1316      0      0  11961      2      0      -      -      0      3     15 
    2     39     51      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0      0      0 
    0     56     71      -     42      3      0      0      -      -    715   1328      0      0   4083      2      0      -      -      0   4718    390 
    1     52     69      -      0      0      0      0      -      -    715   1316      0      0  11961      2      0      -      -      0      0      0 
    2     44     51      -      0      0      0      0      -      -    715   1316      0      0  11961      2      0      0      0      0      0      0 
    3     34     48      -      2      1      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     62      4 
    0     56     72      -     13      5      0      0      -      -    715   1328      0      0   4083      2      0      -      -      0      2      0 
    1     60     69      -     16      6      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0     55      3 
    2     57     52      -     15      5      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0     69      1 
    3     74     48      -     16      5      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0      0     19 
    0     53     71      -     13      5      0      0      -      -    715   1328      0      0   4083      2      0      -      -      0    102      0 
    1     59     69      -     15      5      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0      0     14 
    2     67     51      -     11      4      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0     30      3 
    3     37     48      -     14      5      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     90     14 
    0     45     71      -     14      5      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0    105      0 
    1     62     69      -     14      5      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0     69      9 
    2     40     52      -     16      6      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0     67     17 
    3     39     48      -     19      6      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     55      0 
    0     54     71      -     14      5      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0     35     16 
    1     78     69      -     14      5      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0     39      7 
    2     63     52      -     16      6      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0      0     18 
    3     43     48      -     12      4      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     47      1 
    0     46     71      -     14      5      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0     41     16 
    1     79     69      -     12      4      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0      6      8 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0     61     18 
    3     41     49      -     12      4      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     47      3 
    0     46     71      -     11      4      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0     56     12 
    1     78     69      -     11      4      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0     47      5 
    2     59     52      -     11      4      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0      0     18 
    3     45     48      -     16      6      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     18     71 
    0     61     71      -     14      5      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0     39      0 
    1     52     69      -     16      6      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0     53      4 
    2     58     52      -     16      6      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0     69     14 
    3     36     49      -     14      5      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     90     54 
    0     63     71      -     14      5      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0    105      0 
    1     63     69      -     11      4      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0     69     17 
    2     48     52      -     11      4      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0     46      0 
    3     38     49      -     18      6      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     67     59 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     70     72      -     14      5      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0     83      6 
    1     69     69      -     11      4      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0     69     10 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0     62     17 
    3     46     49      -     19      6      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     31      6 
    0     46     72      -     14      5      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0     27     19 
    1     78     70      -     11      4      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0     14      6 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0     69     15 
    3     38     49      -     12      4      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     90     54 
    0     67     72      -     14      5      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0     14      0 
    1     51     70      -     16      6      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0     69     12 
    2     39     52      -     11      4      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0     55     17 
    3     44     49      -     14      5      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     18     71 
    0     60     72      -     14      5      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0     38      0 
    1     52     70      -     16      6      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0     61      2 
    2     56     52      -     16      6      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0     69     16 
    3     36     49      -     13      5      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     90     54 
    0     63     72      -     14      5      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0      0      0 
    1     48     70      -     16      6      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0     26     11 
    2     68     52      -     16      6      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0     14      6 
    3     37     49      -     12      4      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0     90     17 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0      0      0 
    3     34     49      -      0      0      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0      0      0 
    3     34     49      -      0      0      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0      0      0 
    3     34     49      -      0      0      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10193      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4083      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  11961      2      0      0      0      0      0      0 
