# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     57     71      -     45      3      0      0      -      -    715   1328      0      0   4595      2      0      -      -      0   5123    460 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     51      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     56     71      -     43      2      0      0      -      -    715   1328      0      0   4595      2      0      -      -      0   4891    558 
    1     45     69      -      2      1      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0    208     26 
    2     39     51      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     55     71      -     41      2      0      0      -      -    715   1328      0      0   4595      2      0      -      -      0   3861    541 
    1     52     69      -      0      0      0      0      -      -    715   1316      0      0  12137      2      0      -      -      0      0      0 
    2     44     52      -      2      1      0      0      -      -    715   1316      0      0  12137      2      0      0      0      0      0      0 
    3     50     48      -      2      1      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0     16 
    0     53     71      -     22      3      0      0      -      -    715   1328      0      0   4595      2      0      -      -      0     46      0 
    1     52     69      -     15      5      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      7      7 
    2     45     52      -     10      4      0      0      -      -    715   1316      0      0  12137      2      0      0      0      0     60      0 
    3     53     49      -     18      6      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0     14 
    0     53     72      -     11      4      0      0      -      -    715   1328      0      0   4595      2      0      -      -      0     94      0 
    1     58     69      -     15      5      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0     16     13 
    2     68     52      -     16      6      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0     22      4 
    3     37     49      -     13      5      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0     90     54 
    0     63     71      -     10      3      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0     26 
    1     59     69      -     11      4      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0     40      0 
    2     40     52      -     15      5      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0     63      2 
    3     75     49      -     15      5      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0     90     18 
    0     45     71      -     10      3      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0    105      0 
    1     64     70      -     16      6      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0     69     15 
    2     40     52      -     15      5      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0     48     15 
    3     39     49      -     16      5      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0     55      0 
    0     47     71      -     10      3      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0     26     19 
    1     78     69      -     11      4      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      6      8 
    2     40     52      -     15      5      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0     69      8 
    3     36     49      -     16      5      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0     89     19 
    0     45     71      -     10      4      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0    105      0 
    1     64     69      -     11      4      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0     17 
    2     67     52      -     16      6      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0     21     13 
    3     56     49      -     15      5      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0     15 
    0     45     71      -     10      4      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0     83      6 
    1     65     70      -     15      5      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0     69     13 
    2     43     52      -     16      6      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0     46      0 
    3     49     49      -     15      5      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0     67     60 
    0     69     71      -     14      5      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0     83      5 
    1     68     70      -     16      6      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0     69      0 
    2     42     53      -     16      6      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      8     15 
    3     52     49      -     15      5      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      9     11 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     46     71      -     14      5      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0     67      8 
    1     73     70      -     15      5      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0     16 
    2     49     53      -     11      4      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0     46      0 
    3     38     49      -     16      5      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0     74     58 
    0     66     72      -     10      3      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0     67     10 
    1     76     70      -     16      6      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0     13 
    2     40     52      -     11      4      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0     55     18 
    3     47     49      -     16      5      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0     34      5 
    0     46     72      -     10      3      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0     26 
    1     63     70      -     12      4      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0     38      1 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0     69     11 
    3     36     50      -     13      4      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0     80     22 
    0     45     72      -     10      3      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0    102      0 
    1     62     70      -     16      6      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      2     16 
    2     66     53      -     16      6      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      6     10 
    3     57     50      -     13      4      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0     19 
    0     45     72      -     10      3      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0     99      0 
    1     62     70      -     11      4      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0     17 
    2     49     53      -     16      6      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0     40      1 
    3     38     50      -     18      6      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0     15      9 
    0     46     72      -     14      5      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0     66     10 
    1     77     70      -     11      4      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     34     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     43     72      -      0      0      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
    0     43     71      -      0      0      0      0      -      -    715   1189      0      0   4595      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  12137      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0  10241      2      0      0      0      0      0      0 
