# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     55     73      -     45      3      0      0      -      -    715   1328      0      0   2859      2      0      -      -      0   4265    585 
    1     46     71      -      0      0      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10577      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0      0      0 
    0     56     73      -     42      2      0      0      -      -    715   1328      0      0   2859      2      0      -      -      0   5114    442 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0      0      1 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10577      2      0      0      0      0      0      0 
    3     34     49      -      0      0      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0      0      0 
    0     58     73      -     42      3      0      0      -      -    715   1328      0      0   2859      2      0      -      -      0   3859    581 
    1     53     71      -      0      0      0      0      -      -    715   1316      0      0  10577      2      0      -      -      0      0      0 
    2     44     53      -      0      0      0      0      -      -    715   1316      0      0  10577      2      0      0      0      0      0      0 
    3     35     49      -      3      1      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0     76     47 
    0     80     73      -     11      4      0      0      -      -    715   1328      0      0   2859      2      0      -      -      0      0     26 
    1     60     71      -     15      5      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0     39      4 
    2     46     53      -     15      6      0      0      -      -    715   1316      0      0  10577      2      0      0      0      0     69     18 
    3     47     50      -     17      6      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0     35     67 
    0     58     73      -      9      4      0      0      -      -    715   1328      0      0   2859      2      0      -      -      0      2     26 
    1     67     71      -     11      4      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0     38      4 
    2     41     53      -     11      4      0      0      -      -    715   1189      0      0  10577      2      0      0      0      0     69     15 
    3     37     50      -     19      6      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0     63      1 
    0     68     73      -     14      5      0      0      -      -    715   1189      0      0   2859      2      0      -      -      0     14     16 
    1     48     71      -     11      4      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0     66     17 
    2     59     53      -     16      6      0      0      -      -    715   1189      0      0  10577      2      0      0      0      0     30     18 
    3     48     50      -     13      5      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0     31      9 
    0     68     73      -     10      4      0      0      -      -    715   1189      0      0   2859      2      0      -      -      0      6      0 
    1     51     71      -     16      6      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0      0     17 
    2     69     53      -     16      6      0      0      -      -    715   1189      0      0  10577      2      0      0      0      0     14      9 
    3     60     50      -     12      4      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0     90     54 
    0     48     73      -     10      3      0      0      -      -    715   1189      0      0   2859      2      0      -      -      0     18     22 
    1     79     71      -     11      4      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0      6      9 
    2     40     53      -     11      4      0      0      -      -    715   1189      0      0  10577      2      0      0      0      0     65     18 
    3     48     50      -     19      6      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0     31     68 
    0     52     73      -     14      5      0      0      -      -    715   1189      0      0   2859      2      0      -      -      0     75      7 
    1     73     71      -     11      4      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0     69      0 
    2     43     54      -     16      6      0      0      -      -    715   1189      0      0  10577      2      0      0      0      0     13     14 
    3     54     50      -     12      4      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0      0     16 
    0     68     73      -     13      5      0      0      -      -    715   1189      0      0   2859      2      0      -      -      0      0     26 
    1     51     71      -     16      6      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0     45     16 
    2     69     54      -     12      4      0      0      -      -    715   1189      0      0  10577      2      0      0      0      0      0     10 
    3     37     50      -     19      6      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0     79     22 
    0     59     73      -     14      5      0      0      -      -    715   1189      0      0   2859      2      0      -      -      0      0     20 
    1     78     71      -     11      4      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0     14      7 
    2     40     54      -     13      5      0      0      -      -    715   1189      0      0  10577      2      0      0      0      0     69     18 
    3     42     50      -     13      5      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0     47      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     73      -     10      4      0      0      -      -    715   1189      0      0   2859      2      0      -      -      0     83      5 
    1     68     71      -     11      4      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0     69     16 
    2     44     54      -     12      4      0      0      -      -    715   1189      0      0  10577      2      0      0      0      0     46      1 
    3     38     50      -     12      4      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0     82     56 
    0     49     73      -     14      5      0      0      -      -    715   1189      0      0   2859      2      0      -      -      0      2     25 
    1     68     72      -     16      6      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0     38     13 
    2     70     54      -     12      4      0      0      -      -    715   1189      0      0  10577      2      0      0      0      0     62      2 
    3     74     50      -     19      6      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0      2     76 
    0     68     73      -     14      5      0      0      -      -    715   1189      0      0   2859      2      0      -      -      0      0     20 
    1     48     71      -     11      4      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0     66     17 
    2     60     53      -     12      4      0      0      -      -    715   1189      0      0  10577      2      0      0      0      0     30      4 
    3     38     51      -     12      4      0      0      -      -    715   1189      0      0   4205      2      0      0      0      0     90     54 
    0     48     74      -     14      5      0      0      -      -    715   1189      0      0   2859      2      0      -      -      0     10     23 
    1     76     72      -     12      4      0      0      -      -    715   1189      0      0  10577      2      0      -      -      0     24     12 
