tag	run	eval_tps	prompt_tps	prompt_n	predicted_n	gpu0_used	gpu1_used	gpu2_used	gpu3_used
P_f16_fa1_ctx16384_b2048_ub2048_warmup	1	15.4302830878311	10.700439943160504	69	256	2859MiB	10577MiB	10577MiB	4205MiB
P_f16_fa1_ctx16384_b2048_ub2048_warmup	2	15.41621677609571	10.989572806636554	69	256	2859MiB	10577MiB	10577MiB	4205MiB
P_f16_fa1_ctx16384_b2048_ub2048_warmup	3	15.414290673180007	11.006896538522463	69	256	2859MiB	10577MiB	10577MiB	4205MiB
P_f16_fa1_ctx16384_b4096_ub4096_warmup	1	15.36885307412482	10.640684889996136	69	256	3379MiB	11097MiB	11097MiB	6217MiB
P_f16_fa1_ctx16384_b4096_ub4096_warmup	2	15.360449446750811	11.074449511584676	69	256	3379MiB	11097MiB	11097MiB	6217MiB
P_f16_fa1_ctx16384_b4096_ub4096_warmup	3	15.368043941559892	11.033323515274436	69	256	3379MiB	11097MiB	11097MiB	6217MiB
P_f16_fa1_ctx16384_b8192_ub4096_warmup	1	15.42235288114553	10.540888104959137	69	256	3379MiB	11097MiB	11097MiB	6217MiB
P_f16_fa1_ctx16384_b8192_ub4096_warmup	2	15.425248492618806	10.946252788319937	69	256	3379MiB	11097MiB	11097MiB	6217MiB
P_f16_fa1_ctx16384_b8192_ub4096_warmup	3	15.415957768465441	10.86801411140754	69	256	3379MiB	11097MiB	11097MiB	6217MiB
P_f16_fa1_ctx16384_b8192_ub8192_warmup	1	15.192196718058227	10.58130792020099	69	256	4595MiB	12137MiB	12137MiB	10241MiB
P_f16_fa1_ctx16384_b8192_ub8192_warmup	2	15.18139183593375	10.95079221839879	69	256	4595MiB	12137MiB	12137MiB	10241MiB
P_f16_fa1_ctx16384_b8192_ub8192_warmup	3	15.185982910667683	11.00648744702131	69	256	4595MiB	12137MiB	12137MiB	10241MiB
