# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     57     77      -     44      3      0      0      -      -    715   1328      0      0   2773      2      0      -      -      0   2811    572 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10121      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10121      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   2445      2      0      0      0      0      0      0 
    0     69     77      -     43      3      0      0      -      -    715   1328      0      0   2773      2      0      -      -      0   1924    570 
    1     58     71      -     74     16      0      0      -      -    715   1316      0      0  10121      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  10121      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   2445      2      0      0      0      0      0      0 
    0     60     77      -     43      3      0      0      -      -    715   1328      0      0   2773      2      0      -      -      0   3851    541 
    1     53     71      -      0      0      0      0      -      -    715   1316      0      0  10121      2      0      -      -      0      0      0 
    2     44     54      -      0      0      0      0      -      -    715   1316      0      0  10121      2      0      0      0      0      0      0 
    3     45     50      -      5      1      0      0      -      -    715   1189      0      0   2445      2      0      0      0      0      0      0 
    0     56     77      -     34      2      0      0      -      -    715   1328      0      0   2773      2      0      -      -      0    172     30 
    1     85     71      -      0      0      0      0      -      -    715   1189      0      0  10121      2      0      -      -      0    122      2 
    2     46     54      -     11      3      0      0      -      -    715   1316      0      0  10121      2      0      0      0      0     69      0 
    3     43     50      -     10      3      0      0      -      -    715   1189      0      0   2445      2      0      0      0      0      0     22 
    0     58     78      -     14      5      0      0      -      -    715   1328      0      0   2773      2      0      -      -      0     51     13 
    1     78     71      -     11      4      0      0      -      -    715   1189      0      0  10121      2      0      -      -      0      0     10 
    2     40     54      -     11      4      0      0      -      -    715   1189      0      0  10121      2      0      0      0      0     52     14 
    3     36     50      -     19      6      0      0      -      -    715   1189      0      0   2445      2      0      0      0      0     72     22 
