tag	run	eval_tps	prompt_tps	prompt_n	predicted_n	gpu0_used	gpu1_used	gpu2_used	gpu3_used
Q_f16_fa1_ctx16384_b1024_ub1024_warmup	1	14.745098147635524	10.49336135212892	69	256	2783MiB	10317MiB	10317MiB	3199MiB
Q_f16_fa1_ctx16384_b1024_ub1024_warmup	2	14.74883426596665	10.847536925251509	69	256	2783MiB	10317MiB	10317MiB	3199MiB
Q_f16_fa1_ctx16384_b1024_ub1024_warmup	3	14.745253569114546	10.817227422329957	69	256	2783MiB	10317MiB	10317MiB	3199MiB
Q_f16_fa1_ctx16384_b128_ub128_warmup	1	14.7330879545208	10.438805308335043	67	256	2771MiB	10091MiB	10091MiB	2319MiB
Q_f16_fa1_ctx16384_b128_ub128_warmup	2	14.71990888376401	10.8279118355864	67	256	2771MiB	10091MiB	10091MiB	2319MiB
Q_f16_fa1_ctx16384_b128_ub128_warmup	3	14.72057840832711	10.888968921907566	67	256	2771MiB	10091MiB	10091MiB	2319MiB
Q_f16_fa1_ctx16384_b256_ub256_warmup	1	14.728297996732849	10.423239530400389	67	256	2773MiB	10121MiB	10121MiB	2445MiB
Q_f16_fa1_ctx16384_b256_ub256_warmup	2	14.723272357706044	10.721193912154057	67	256	2773MiB	10121MiB	10121MiB	2445MiB
Q_f16_fa1_ctx16384_b256_ub256_warmup	3	14.71065943001826	10.749613896330724	67	256	2773MiB	10121MiB	10121MiB	2445MiB
Q_f16_fa1_ctx16384_b512_ub512_warmup	1	14.947031166369973	10.383134566043864	67	256	2777MiB	10187MiB	10187MiB	2697MiB
Q_f16_fa1_ctx16384_b512_ub512_warmup	2	14.948321142957976	10.724102612695512	67	256	2777MiB	10187MiB	10187MiB	2697MiB
Q_f16_fa1_ctx16384_b512_ub512_warmup	3	14.943919730603158	10.71216555060291	67	256	2777MiB	10187MiB	10187MiB	2697MiB
