# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     72     78      -     63     11      0      0      -      -    715   1328      0      0   4835      2      0      -      -      0   5253    594 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  11745      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  11749      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0   4917      2      0      0      0      0      0      0 
    0     58     78      -     62      7      0      0      -      -    715   1328      0      0   4839      2      0      -      -      0   5152    302 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  11745      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  11749      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0   4917      2      0      0      0      0      0      0 
    0    124     79      -     55      5      0      0      -      -    715   1328      0      0   4839      2      0      -      -      0   5154    589 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  11745      2      0      -      -      0      0      0 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  11749      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0   4917      2      0      0      0      0      0      0 
    0     77     78      -     62     14      0      0      -      -    715   1303      0      0   4839      2      0      -      -      0     35    314 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  11745      2      0      -      -      0      0      5 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  11749      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0   4917      2      0      0      0      0      0      0 
    0     53     78      -      0      0      0      0      -      -    715   1303      0      0   4839      2      0      -      -      0      0      0 
    1    121     69      -     89     16      0      0      -      -    715   1328      0      0  11867      2      0      -      -      0     22     12 
    2     41     56      -      0      0      0      0      -      -    715   1189      0      0  11749      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0   4917      2      0      0      0      0      0      0 
    0     58     78      -     52      5      0      0      -      -    715   1328      0      0   4839      2      0      -      -      0   5184    587 
    1     55     68      -     30      5      0      0      -      -    715   1328      0      0  11867      2      0      -      -      0      0      0 
    2     41     55      -      0      0      0      0      -      -    715   1189      0      0  11749      2      0      0      0      0      0      0 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0   4917      2      0      0      0      0      0      0 
    0     56     78      -      0      0      0      0      -      -    715   1328      0      0   4839      2      0      -      -      0      0      0 
    1     52     67      -      0      0      0      0      -      -    715   1328      0      0  11867      2      0      -      -      0      0      0 
    2     51     58      -     62     11      0      0      -      -    715   1328      0      0  11875      2      0      0      0      0      0      3 
    3     35     52      -      0      0      0      0      -      -    715   1189      0      0   4917      2      0      0      0      0      0      0 
    0     58     78      -     36      5      0      0      -      -    715   1328      0      0   4839      2      0      -      -      0     35    365 
    1     44     66      -      0      0      0      0      -      -    715   1189      0      0  11867      2      0      -      -      0      0      0 
