# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     91     77      -     44      3      0      0      -      -    715   1328      0      0   4665      2      0      -      -      0   5107    583 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     56     77      -     44      3      0      0      -      -    715   1328      0      0   4665      2      0      -      -      0      0    172 
    1     88     74      -     19      4      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     68     77      -     44      3      0      0      -      -    715   1328      0      0   4665      2      0      -      -      0   4629    513 
    1     55     73      -      0      0      0      0      -      -    715   1316      0      0  11699      2      0      -      -      0      0      0 
    2     45     53      -      0      0      0      0      -      -    715   1316      0      0  11699      2      0      0      0      0      0      0 
    3     37     50      -      3      1      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0     12 
    0     85     77      -      9      4      0      0      -      -    715   1328      0      0   4665      2      0      -      -      0      0      2 
    1     69     73      -     11      4      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0     69     15 
    2     55     54      -     15      5      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0     38     16 
    3     53     50      -     15      5      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0     15     10 
    0     58     77      -     10      4      0      0      -      -    715   1328      0      0   4665      2      0      -      -      0     59      0 
    1     55     73      -     11      4      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0     47      5 
    2     41     54      -     16      6      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0     69      5 
    3     72     50      -     14      5      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0     90     54 
    0     70     77      -     12      4      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0     14      0 
    1     53     74      -     11      4      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0     69     11 
    2     40     53      -     16      6      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0     60     17 
    3     42     50      -     12      4      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0     47      1 
    0     52     77      -     12      5      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      6      0 
    1     52     74      -     11      4      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0     47      5 
    2     55     54      -     16      6      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0     69      0 
    3     40     51      -     12      4      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0     27     22 
    0     48     77      -     10      4      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0     75      7 
    1     73     73      -     11      4      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0     16 
    2     41     54      -     14      5      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0     47     17 
    3     49     51      -     14      5      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0     31      6 
    0     50     77      -     14      5      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0     94      0 
    1     63     74      -     16      6      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0     66      0 
    2     48     54      -     11      4      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0     29     10 
    3     57     51      -     16      5      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0     17 
    0     49     77      -     14      5      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0     51     13 
    1     80     73      -     16      6      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0     39      8 
    2     65     54      -     11      4      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0     63      1 
    3     75     51      -     14      5      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0     91     17 
    0     49     77      -     12      4      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0     59     11 
    1     77     73      -     12      4      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0     55      3 
    2     58     54      -     11      4      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0     69      4 
    3     74     51      -     19      6      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0     90     54 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     68     77      -     10      3      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0     43     16 
    1     81     74      -     11      4      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0     31      9 
    2     66     54      -     16      6      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      6      7 
    3     37     51      -     18      6      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0     91     54 
    0     69     77      -     10      3      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0     49     14 
    1     80     73      -     16      6      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0     39      7 
    2     64     54      -     16      6      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0     10 
    3     36     51      -     15      5      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0     88     20 
    0     49     77      -     13      5      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0     38      0 
    1     54     74      -     16      6      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0     14      5 
    2     41     54      -     13      5      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0     69     12 
    3     36     51      -     12      4      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0     80     22 
    0     49     77      -     14      5      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0     75      8 
    1     72     74      -     16      6      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0     69      9 
    2     41     54      -     11      4      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0     67     18 
    3     39     51      -     14      5      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0     55      0 
    0     52     77      -     14      5      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0     99      1 
    1     68     74      -     16      6      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0     69     12 
    2     41     54      -     11      4      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0     18 
    3     42     51      -     17      6      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0     47      1 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     51      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     53      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
    1     48     72      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
    1     48     73      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
    1     48     72      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      -      -      0      0      0 
    2     40     54      -      0      0      0      0      -      -    715   1189      0      0  11699      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   4879      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4665      2      0      -      -      0      0      0 
