tag	run	eval_tps	prompt_tps	prompt_n	predicted_n	gpu0_used	gpu1_used	gpu2_used	gpu3_used
R_f16_fa1_ctx131072_b2048_ub2048_120k	1	12.816901006512238	72.28058784614197	120265	256	4841MiB	11867MiB	11875MiB	4951MiB
R_f16_fa1_ctx131072_b2048_ub2048_1k	1	14.895056761221186	68.80343262911035	1091	256	4715MiB	11745MiB	11749MiB	4917MiB
R_f16_fa1_ctx131072_b2048_ub2048_1k	2	14.893487421199051	68.85890879015844	1091	256	4715MiB	11745MiB	11749MiB	4917MiB
R_f16_fa1_ctx131072_b2048_ub2048_1k	3	14.892029297275387	68.81622221016765	1091	256	4715MiB	11745MiB	11749MiB	4917MiB
R_f16_fa1_ctx131072_b2048_ub2048_32k	1	14.584357490403521	92.27204383737573	32123	256	4841MiB	11867MiB	11875MiB	4951MiB
R_f16_fa1_ctx131072_b2048_ub2048_32k	2	14.216192976823054	92.80858830330672	32123	256	4841MiB	11867MiB	11875MiB	4951MiB
R_f16_fa1_ctx131072_b2048_ub2048_64k	1	13.935292991168183	83.84469748635243	64185	256	4841MiB	11867MiB	11875MiB	4951MiB
R_f16_fa1_ctx131072_b2048_ub2048_8k	1	15.129718721389835	96.77177629857331	8092	256	4839MiB	11867MiB	11875MiB	4951MiB
R_f16_fa1_ctx131072_b2048_ub2048_8k	2	15.148226580545842	99.38731136983473	8092	256	4839MiB	11867MiB	11875MiB	4951MiB
R_f16_fa1_ctx131072_b2048_ub2048_8k	3	15.141914338996587	99.89523468744747	8092	256	4839MiB	11867MiB	11875MiB	4951MiB
R_f16_fa1_ctx131072_b2048_ub2048_warmup	1	15.150294770881677	11.146076175150714	70	256	4665MiB	11699MiB	11699MiB	4879MiB
R_f16_fa1_ctx131072_b2048_ub2048_warmup	2	14.911526592581621	11.164990163643667	70	256	4665MiB	11699MiB	11699MiB	4879MiB
R_f16_fa1_ctx131072_b2048_ub2048_warmup	3	14.91683456845889	11.138370061843412	70	256	4665MiB	11699MiB	11699MiB	4879MiB
