# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     54     76      -     62      7      0      0      -      -    715   1328      0      0   3193      2      0      -      -      0   1307      8 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10905      2      0      -      -      0      0      0 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10913      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   4373      2      0      0      0      0      0      0 
    0     58     77      -     74     17      0      0      -      -    715   1328      0      0   3193      2      0      -      -      0   5096    243 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10905      2      0      -      -      0      0      0 
    2     43     59      -      0      0      0      0      -      -    715   1189      0      0  10913      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   4373      2      0      0      0      0      0      0 
    0     86     78      -     53      6      0      0      -      -    715   1328      0      0   3193      2      0      -      -      0   5096    582 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10905      2      0      -      -      0      0      0 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10913      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   4373      2      0      0      0      0      0      0 
    0     71     78      -     55      5      0      0      -      -    715   1328      0      0   3193      2      0      -      -      0   5079    583 
    1     46     65      -     37     10      0      0      -      -    715   1189      0      0  10905      2      0      -      -      0      0      0 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10913      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   4373      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0   3193      2      0      -      -      0   3416    582 
    1     63     68      -     84     20      0      0      -      -    715   1328      0      0  10905      2      0      -      -      0      0      0 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10913      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   4373      2      0      0      0      0      0      0 
    0     60     77      -     47      4      0      0      -      -    715   1328      0      0   3193      2      0      -      -      0   5052    572 
    1     51     66      -      1      0      0      0      -      -    715   1328      0      0  10905      2      0      -      -      0      5      7 
    2     42     59      -      0      0      0      0      -      -    715   1189      0      0  10913      2      0      0      0      0   1816      9 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   4373      2      0      0      0      0      0      0 
    0     57     77      -     11      0      0      0      -      -    715   1328      0      0   3193      2      0      -      -      0    374      9 
    1     51     65      -      0      0      0      0      -      -    715   1328      0      0  10905      2      0      -      -      0      0      0 
    2     54     61      -     38     12      0      0      -      -    715   1328      0      0  10913      2      0      0      0      0      0     21 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   4373      2      0      0      0      0      0      0 
    0     64     78      -     46      4      0      0      -      -    715   1328      0      0   3193      2      0      -      -      0   5047    567 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  10905      2      0      -      -      0      0      0 
    2     53     61      -     24      9      0      0      -      -    715   1328      0      0  10913      2      0      0      0      0      0      6 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   4373      2      0      0      0      0   1366      8 
    0     57     78      -     45      5      0      0      -      -    715   1328      0      0   3193      2      0      -      -      0   5094    575 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10905      2      0      -      -      0      0      0 
    2     53     60      -      0      0      0      0      -      -    715   1328      0      0  10913      2      0      0      0      0      0      0 
