# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     55     75      -     46      3      0      0      -      -    715   1328      0      0   3447      2      0      -      -      0   3618    459 
    1     41     61      -      0      0      0      0      -      -    715   1189      0      0  11057      2      0      -      -      0      0      0 
    2     45     62      -      0      0      0      0      -      -    715   1189      0      0  11057      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0   4493      2      0      0      0      0      0      0 
    0     82     75      -     43      2      0      0      -      -    715   1328      0      0   3447      2      0      -      -      0   5044    586 
    1     42     61      -      0      0      0      0      -      -    715   1189      0      0  11057      2      0      -      -      0      0      0 
    2     45     62      -      0      0      0      0      -      -    715   1189      0      0  11057      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0   4493      2      0      0      0      0      0      0 
    0     68     75      -     44      3      0      0      -      -    715   1328      0      0   3447      2      0      -      -      0   5064    440 
    1     48     62      -      0      0      0      0      -      -    715   1328      0      0  11057      2      0      -      -      0      0      0 
    2     45     62      -      6      1      0      0      -      -    715   1189      0      0  11057      2      0      0      0      0      0     19 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0   4493      2      0      0      0      0      0      0 
    0     75     75      -     43      3      0      0      -      -    715   1328      0      0   3447      2      0      -      -      0   4841    540 
    1     40     61      -      0      0      0      0      -      -    715   1189      0      0  11057      2      0      -      -      0      0    649 
    2     45     62      -      0      0      0      0      -      -    715   1189      0      0  11057      2      0      0      0      0      0     17 
    3     37     57      -      2      0      0      0      -      -    715   1189      0      0   4493      2      0      0      0      0    102     90 
    0     62     75      -      9      4      0      0      -      -    715   1328      0      0   3447      2      0      -      -      0      0     18 
    1     42     62      -     11      4      0      0      -      -    715   1189      0      0  11057      2      0      -      -      0     55      4 
    2     63     63      -     11      4      0      0      -      -    715   1189      0      0  11057      2      0      0      0      0     69     10 
    3     39     57      -     12      4      0      0      -      -    715   1189      0      0   4493      2      0      0      0      0     88     18 
    0     61     75      -     13      5      0      0      -      -    715   1328      0      0   3447      2      0      -      -      0      0      7 
    1     68     61      -     11      4      0      0      -      -    715   1189      0      0  11057      2      0      -      -      0     49      4 
    2     66     63      -     16      6      0      0      -      -    715   1189      0      0  11057      2      0      0      0      0     69      7 
    3     39     57      -     17      6      0      0      -      -    715   1189      0      0   4493      2      0      0      0      0     90     54 
    0     47     75      -     10      3      0      0      -      -    715   1189      0      0   3447      2      0      -      -      0     59      0 
    1     48     62      -     16      6      0      0      -      -    715   1189      0      0  11057      2      0      -      -      0     31      8 
    2     67     63      -     11      4      0      0      -      -    715   1189      0      0  11057      2      0      0      0      0     70      7 
    3     39     57      -     12      4      0      0      -      -    715   1189      0      0   4493      2      0      0      0      0     90     30 
    0     47     75      -     14      5      0      0      -      -    715   1189      0      0   3447      2      0      -      -      0     75      8 
    1     71     62      -     16      6      0      0      -      -    715   1189      0      0  11057      2      0      -      -      0     39      7 
    2     68     63      -     16      6      0      0      -      -    715   1189      0      0  11057      2      0      0      0      0      0     15 
    3     38     57      -     12      4      0      0      -      -    715   1189      0      0   4493      2      0      0      0      0     65     22 
