tag	run	eval_tps	prompt_tps	prompt_n	predicted_n	gpu0_used	gpu1_used	gpu2_used	gpu3_used
Rctx3_f16_fa1_ctx32768_b2048_ub2048_1k	1	15.058823529411764	68.58260850560002	1092	256	3069MiB	10783MiB	10787MiB	4339MiB
Rctx3_f16_fa1_ctx32768_b2048_ub2048_1k	2	15.062578541638793	68.74074447107554	1092	256	3069MiB	10783MiB	10787MiB	4339MiB
Rctx3_f16_fa1_ctx32768_b2048_ub2048_1k	3	15.063735193186815	68.58975506485406	1092	256	3069MiB	10783MiB	10787MiB	4339MiB
Rctx3_f16_fa1_ctx32768_b2048_ub2048_8k	1	15.314687820557804	97.2667256853227	8093	256	3193MiB	10905MiB	10913MiB	4373MiB
Rctx3_f16_fa1_ctx32768_b2048_ub2048_8k	2	15.323130403012096	98.81297570532874	8093	256	3193MiB	10905MiB	10913MiB	4373MiB
Rctx3_f16_fa1_ctx32768_b2048_ub2048_8k	3	15.32431090584516	100.15958827070207	8093	256	3193MiB	10905MiB	10913MiB	4373MiB
Rctx3_f16_fa1_ctx32768_b2048_ub2048_warmup	1	15.074277323835283	10.87603222736851	71	256	3019MiB	10737MiB	10737MiB	4301MiB
Rctx3_f16_fa1_ctx32768_b2048_ub2048_warmup	2	15.0585179300773	11.047290963082599	71	256	3019MiB	10737MiB	10737MiB	4301MiB
Rctx3_f16_fa1_ctx32768_b2048_ub2048_warmup	3	15.06936854165715	11.041693590514594	71	256	3019MiB	10737MiB	10737MiB	4301MiB
Rctx3_f16_fa1_ctx65536_b2048_ub2048_1k	1	14.554547829996514	69.15087162393984	1092	256	3497MiB	11103MiB	11107MiB	4531MiB
Rctx3_f16_fa1_ctx65536_b2048_ub2048_1k	2	14.549302670677953	69.33012433900679	1092	256	3497MiB	11103MiB	11107MiB	4531MiB
Rctx3_f16_fa1_ctx65536_b2048_ub2048_1k	3	14.557682171337436	69.36264620781964	1092	256	3497MiB	11103MiB	11107MiB	4531MiB
Rctx3_f16_fa1_ctx65536_b2048_ub2048_32k	1	14.171571451236455	92.69191589377236	32124	256	3621MiB	11225MiB	11233MiB	4565MiB
Rctx3_f16_fa1_ctx65536_b2048_ub2048_32k	2	13.896075916433993	92.65682383760682	32124	256	3623MiB	11225MiB	11233MiB	4565MiB
Rctx3_f16_fa1_ctx65536_b2048_ub2048_8k	1	14.801416449299772	96.81836639984212	8093	256	3621MiB	11225MiB	11233MiB	4565MiB
Rctx3_f16_fa1_ctx65536_b2048_ub2048_8k	2	14.81908730862104	98.99020208605735	8093	256	3621MiB	11225MiB	11233MiB	4565MiB
Rctx3_f16_fa1_ctx65536_b2048_ub2048_8k	3	14.817541654077544	100.3683243422058	8093	256	3621MiB	11225MiB	11233MiB	4565MiB
Rctx3_f16_fa1_ctx65536_b2048_ub2048_warmup	1	14.58374017790796	10.888854092269082	71	256	3447MiB	11057MiB	11057MiB	4493MiB
Rctx3_f16_fa1_ctx65536_b2048_ub2048_warmup	2	14.574400464103567	11.153031849603094	71	256	3447MiB	11057MiB	11057MiB	4493MiB
Rctx3_f16_fa1_ctx65536_b2048_ub2048_warmup	3	14.579442041336021	11.16763437102153	71	256	3447MiB	11057MiB	11057MiB	4493MiB
