# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     66     77      -     58      8      0      0      -      -    715   1328      0      0   2873      2      0      -      -      0   5203    593 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10299      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10299      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   2793      2      0      0      0      0      0      0 
    0     84     78      -     54      6      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   5151    590 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10299      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10299      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   2793      2      0      0      0      0      0      0 
    0    125     78      -     59      6      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   1354    595 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10299      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10299      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   2793      2      0      0      0      0      0      0 
    0     60     78      -     49      5      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   5036    574 
    1     56     72      -      9      2      0      0      -      -    715   1328      0      0  10315      2      0      -      -      0    632     33 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10299      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   2793      2      0      0      0      0      0      0 
    0     60     78      -     19      1      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   4974    158 
    1     56     72      -      0      0      0      0      -      -    715   1328      0      0  10315      2      0      -      -      0      0      0 
    2     79     58      -      0      0      0      0      -      -    715   1328      0      0  10315      2      0      0      0      0      6    374 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   2793      2      0      0      0      0      0      0 
    0     58     78      -     48      4      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0    692     82 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10315      2      0      -      -      0      0      0 
    2     49     57      -      0      0      0      0      -      -    715   1328      0      0  10315      2      0      0      0      0      0      0 
    3     36     54      -     11      2      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0     54 
    0     63     78      -     49      4      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   5001    404 
    1     48     71      -      0      0      0      0      -      -    715   1189      0      0  10315      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10315      2      0      0      0      0      0      0 
    3     66     54      -      0      0      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0      0 
    0     58     78      -     45      3      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   3649    574 
    1     48     71      -      0      0      0      0      -      -    715   1189      0      0  10315      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10315      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0      0 
    0     80     78      -     44      3      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   5083    585 
    1     48     71      -      2      1      0      0      -      -    715   1189      0      0  10315      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10315      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0      0 
    0     64     78      -     42      2      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   5118    444 
    1     54     72      -      0      0      0      0      -      -    715   1316      0      0  10315      2      0      -      -      0      0      0 
    2     47     57      -      4      1      0      0      -      -    715   1316      0      0  10315      2      0      0      0      0      0     55 
    3     43     53      -      0      0      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0      0 
    0     78     78      -     44      3      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   4796    541 
    1     54     72      -      0      0      0      0      -      -    715   1316      0      0  10315      2      0      -      -      0      0      0 
    2     47     57      -      2      0      0      0      -      -    715   1316      0      0  10315      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     86     78      -     52      5      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   1354    588 
    1     54     71      -      0      0      0      0      -      -    715   1316      0      0  10315      2      0      -      -      0      0      0 
    2     46     57      -      0      0      0      0      -      -    715   1316      0      0  10315      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0      0 
    0     91     79      -     54      6      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   2065    592 
    1     54     71      -      0      0      0      0      -      -    715   1316      0      0  10315      2      0      -      -      0      0      0 
    2     46     57      -      0      0      0      0      -      -    715   1316      0      0  10315      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0      0 
    0     71     79      -     49      4      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0     43    568 
    1     54     71      -      0      0      0      0      -      -    715   1316      0      0  10315      2      0      -      -      0     11     53 
    2     47     58      -      0      0      0      0      -      -    715   1316      0      0  10315      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0      0 
    0     58     79      -     41      3      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   1220    581 
    1     56     72      -     10      2      0      0      -      -    715   1328      0      0  10315      2      0      -      -      0      0      0 
    2     47     57      -      0      0      0      0      -      -    715   1316      0      0  10315      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0      0 
    0     59     79      -     16      0      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   2096    346 
    1     55     72      -      0      0      0      0      -      -    715   1328      0      0  10315      2      0      -      -      0      0      0 
    2     49     58      -     10      2      0      0      -      -    715   1328      0      0  10315      2      0      0      0      0      0      0 
    3     36     53      -      0      0      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0      0 
    0     58     79      -     50      4      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0     28    343 
    1     55     72      -      0      0      0      0      -      -    715   1328      0      0  10315      2      0      -      -      0      0      0 
    2     48     58      -      0      0      0      0      -      -    715   1328      0      0  10315      2      0      0      0      0      0      0 
    3     36     54      -      4      1      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0     97 
    0     65     79      -     45      4      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0   4987    393 
    1     55     71      -      0      0      0      0      -      -    715   1328      0      0  10315      2      0      -      -      0      0      0 
    2     48     58      -      0      0      0      0      -      -    715   1328      0      0  10315      2      0      0      0      0      0      0 
    3     67     54      -      0      0      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0     64 
    0     87     79      -      9      4      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0     75      7 
    1     89     72      -     14      5      0      0      -      -    715   1328      0      0  10315      2      0      -      -      0     63      2 
    2     71     58      -     10      4      0      0      -      -    715   1328      0      0  10315      2      0      0      0      0      0     17 
    3     50     54      -     16      6      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0     31      5 
    0     66     79      -     11      4      0      0      -      -    715   1328      0      0   2889      2      0      -      -      0     51     13 
    1     97     72      -     10      4      0      0      -      -    715   1328      0      0  10315      2      0      -      -      0     39      8 
    2     80     58      -     11      4      0      0      -      -    715   1328      0      0  10315      2      0      0      0      0     70      6 
    3     64     54      -     12      4      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0     76      9 
    0     60     78      -     11      4      0      0      -      -    715   1189      0      0   2889      2      0      -      -      0      0      5 
    1     58     72      -     15      6      0      0      -      -    715   1328      0      0  10315      2      0      -      -      0     39      7 
    2     79     59      -     12      5      0      0      -      -    715   1328      0      0  10315      2      0      0      0      0     70      6 
    3     38     54      -     19      6      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0     90     54 
    0     49     78      -     12      5      0      0      -      -    715   1189      0      0   2889      2      0      -      -      0     83      6 
    1     84     72      -     10      4      0      0      -      -    715   1328      0      0  10315      2      0      -      -      0     63      2 
    2     67     59      -     12      5      0      0      -      -    715   1328      0      0  10315      2      0      0      0      0     70      0 
    3     42     54      -     12      4      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0     24     71 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     51     78      -     12      4      0      0      -      -    715   1189      0      0   2889      2      0      -      -      0      2      0 
    1     72     72      -     15      6      0      0      -      -    715   1328      0      0  10315      2      0      -      -      0      2     16 
    2     89     59      -     10      4      0      0      -      -    715   1328      0      0  10315      2      0      0      0      0      6      6 
    3     38     54      -     12      4      0      0      -      -    715   1189      0      0   2809      2      0      0      0      0      0     13 
    0     58     78      -     11      4      0      0      -      -    715   1189      0      0   2889      2      0      -      -      0      0      8 
    1     58     72      -     15      6      0      0      -      -    715   1328      0      0  10315      2      0      -      -      0     55      3 
    2     71     59      -     11      4      0      0      -      -    715   1328      0      0  10315      2      0      0      0      0      0     17 
