# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     70     77      -     48      4      0      0      -      -    715   1328      0      0   4693      2      0      -      -      0   4740    572 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
    0     80     77      -     43      2      0      0      -      -    715   1328      0      0   4693      2      0      -      -      0   5072    573 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0     52     28 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
    0     66     77      -     44      3      0      0      -      -    715   1328      0      0   4693      2      0      -      -      0   5062    448 
    1     49     64      -      0      0      0      0      -      -    715   1316      0      0  12491      2      0      -      -      0      0      0 
    2     51     62      -      0      0      0      0      -      -    715   1328      0      0  12491      2      0      0      0      0      0      0 
    3     38     56      -      3      1      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0     76     47 
    0     57     77      -      7      3      0      0      -      -    715   1328      0      0   4693      2      0      -      -      0     91      3 
    1     65     65      -     15      5      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0     17 
    2     72     62      -     10      3      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0     14      0 
    3     46     56      -     17      6      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0     54 
    0     83     77      -     13      5      0      0      -      -    715   1328      0      0   4693      2      0      -      -      0     99      2 
    1     62     64      -     11      4      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0     69     16 
    2     46     62      -     12      4      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0     48     17 
    3     52     56      -     16      6      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0     23      8 
    0     49     77      -     14      5      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0     51     13 
    1     75     65      -     11      4      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0     10 
    2     46     62      -     14      5      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0     63     17 
    3     46     57      -     16      6      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0     41      3 
    0     50     77      -     10      4      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0     10      0 
    1     57     65      -     11      4      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      2     16 
    2     74     62      -     16      6      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      6     10 
    3     59     57      -     18      6      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0     17 
    0     49     77      -     11      4      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0     59     11 
    1     76     65      -     16      6      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0     47      5 
    2     61     62      -     16      6      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0     69      0 
    3     57     57      -     19      6      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0     40     66 
    0     55     77      -     12      4      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0     70      0 
    1     53     65      -     12      4      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0     27     11 
    2     73     62      -     16      6      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0     55      3 
    3     80     57      -     12      4      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0     22 
    0     48     77      -     10      4      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0     91     14 
    1     44     65      -     11      4      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0     69     11 
    2     46     62      -     12      4      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0     17 
    3     53     57      -     15      5      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0     23      8 
    0     50     77      -     10      3      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0     19     21 
    1     73     65      -     11      4      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0     23      4 
    2     46     62      -     16      6      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0     69      7 
    3     66     57      -     17      6      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0     83     55 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     65     77      -     10      3      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0     38      7 
    1     45     65      -     11      4      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0     69      8 
    2     46     62      -     16      6      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0     69     16 
    3     43     57      -     19      6      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0     55      0 
    0     51     77      -     12      4      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0    105      0 
    1     61     65      -     12      4      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0     69     13 
    2     46     62      -     16      6      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0     52     17 
    3     50     57      -     18      6      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0     39      4 
    0     53     77      -     14      5      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0     75      7 
    1     69     65      -     11      4      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0     63      2 
    2     62     63      -     11      4      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0     69     16 
    3     45     57      -     13      5      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0     50      0 
    0     64     77      -     14      5      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0      0      0 
    1     45     65      -     11      4      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0     27      0 
    2     46     62      -     11      4      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0     55      4 
    3     81     57      -     19      6      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0     90     54 
    0     69     77      -     13      5      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0     14      0 
    1     48     65      -     12      4      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0     69      0 
    2     47     63      -     16      6      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0     22     12 
    3     59     57      -     19      6      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0     67     59 
    0     63     77      -     13      5      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0     46      0 
    1     50     65      -     16      6      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     45     62      -      1      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     45     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0      0      0 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     45     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     45     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     45     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     45     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
    0     46     76      -      0      0      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     45     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0  10339      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   4693      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  12491      2      0      0      0      0      0      0 
