# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     58     72      -     45      3      0      0      -      -    715   1328      0      0   2883      2      0      -      -      0   4913    484 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  10409      2      0      -      -      0      0      0 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  10409      2      0      0      0      0      0      0 
    3     34     48      -      0      0      0      0      -      -    715   1189      0      0   3439      2      0      0      0      0      0      0 
    0     54     72      -     38      2      0      0      -      -    715   1328      0      0   2883      2      0      -      -      0   3968    515 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  10491      2      0      -      -      0     52    230 
    2     39     52      -      0      0      0      0      -      -    715   1189      0      0  10409      2      0      0      0      0      0      0 
    3     34     49      -      0      0      0      0      -      -    715   1189      0      0   3439      2      0      0      0      0      0      0 
    0     58     72      -     43      3      0      0      -      -    715   1328      0      0   2883      2      0      -      -      0   4404    509 
    1     53     70      -      0      0      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0      0      0 
    2     44     52      -      2      0      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0      0      0 
    3     49     49      -      3      1      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0     17 
    0     52     72      -     41      2      0      0      -      -    715   1328      0      0   2883      2      0      -      -      0      0    115 
    1     53     71      -      0      0      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0     79     26 
    2    105     52      -      0      0      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0    584      0 
    3     41     49      -     10      3      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0     35     68 
    0     54     73      -     12      5      0      0      -      -    715   1328      0      0   2883      2      0      -      -      0    104      0 
    1     71     71      -     10      4      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0     18     13 
    2     77     53      -     15      6      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0     69      0 
    3     42     49      -     19      6      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0     18     71 
    0     53     73      -     12      4      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0     91      2 
    1     78     71      -     10      4      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0     69     17 
    2     74     53      -     15      6      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0     22     10 
    3     60     49      -     16      6      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0     90     54 
    0     45     72      -     14      5      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0     86      0 
    1     66     72      -     10      4      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0     39      7 
    2     70     53      -     14      5      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0     70      0 
    3     59     50      -     17      6      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0     43      7 
    0     54     72      -     10      3      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0     51     14 
    1     95     72      -     11      4      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0      0     15 
    2     45     53      -     10      4      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0     47      2 
    3     38     50      -     17      6      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0     83     55 
    0     45     72      -     11      4      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0    105      0 
    1     72     72      -     10      4      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0     18     13 
    2     79     53      -     15      6      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0      0     12 
    3     36     50      -     18      6      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0     73     76 
    0     47     72      -     12      4      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0     26     19 
    1     94     72      -     10      4      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0      7     10 
    2     46     53      -     15      6      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0     51     16 
    3     55     50      -     12      4      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      7     17 
    0     50     72      -     11      4      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0    105      0 
    1     74     72      -     10      4      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0      8     15 
    2     79     54      -     14      5      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0     55      3 
    3     75     50      -     13      4      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      2     75 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     72      -     10      3      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0     35     17 
    1     93     72      -     10      4      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0     47      5 
    2     68     54      -     12      5      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0      1     17 
    3     52     50      -     15      5      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      9     15 
    0     51     73      -     10      3      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0     91      4 
    1     80     72      -     15      6      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0      0     17 
    2     79     54      -     15      6      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0     22      8 
    3     37     50      -     17      6      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0     89     22 
    0     50     73      -     11      4      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0     99      1 
    1     77     72      -     14      5      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0     66     17 
    2     77     54      -     10      4      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0     14      8 
    3     37     50      -     19      6      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0     88     22 
    0     49     73      -     11      4      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0     11     22 
    1     90     72      -     11      4      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0     22      6 
    2     46     54      -     15      6      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0     69     18 
    3     44     50      -     14      5      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0     39      7 
    0     53     73      -     12      4      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0     66     10 
    1     89     72      -     10      4      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0     69     14 
    2     46     54      -     15      6      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0     50     16 
    3     54     50      -     16      6      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0     67     60 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     55     72      -      0      0      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0      0      0 
    2     45     54      -      0      0      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     54     72      -      0      0      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0      0      0 
    2     45     54      -      0      0      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     54     72      -      0      0      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0      0      0 
    2     45     53      -      0      0      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     54     72      -      0      0      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0      0      0 
    2     45     54      -      0      0      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     54     72      -      0      0      0      0      -      -    715   1316      0      0  10517      2      0      -      -      0      0      0 
    2     45     53      -      0      0      0      0      -      -    715   1316      0      0  10517      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     47     71      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      0      0      0      0      0 
    3     35     50      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
    0     44     72      -      0      0      0      0      -      -    715   1189      0      0   2883      2      0      -      -      0      0      0 
    1     47     72      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      -      -      0      0      0 
    2     39     53      -      0      0      0      0      -      -    715   1189      0      0  10517      2      0      0      0      0      0      0 
    3     35     49      -      0      0      0      0      -      -    715   1189      0      0   3547      2      0      0      0      0      0      0 
