# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     55     77      -     53      5      0      0      -      -    715   1328      0      0   2941      2      0      -      -      0     49      9 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0     63     78      -     62      7      0      0      -      -    715   1328      0      0   2941      2      0      -      -      0   5096    582 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0     62     78      -     57      8      0      0      -      -    715   1328      0      0   2941      2      0      -      -      0   5054    581 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0     55     77      -      0      0      0      0      -      -    715   1328      0      0   2941      2      0      -      -      0      0    429 
    1     99     73      -     91     18      0      0      -      -    715   1328      0      0  10655      2      0      -      -      0      0    795 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0    111     78      -     48      3      0      0      -      -    715   1328      0      0   2941      2      0      -      -      0   4960    568 
    1     55     71      -      1      0      0      0      -      -    715   1328      0      0  10655      2      0      -      -      0      0      1 
    2     41     57      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0     21    105 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0    116     78      -     49      4      0      0      -      -    715   1328      0      0   2941      2      0      -      -      0   3686    573 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     96     59      -     18      4      0      0      -      -    715   1328      0      0  10659      2      0      0      0      0      0     36 
    3     36     54      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0    123     78      -     44      3      0      0      -      -    715   1328      0      0   2941      2      0      -      -      0   5023    565 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     36     54      -     20      4      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      1 
    0     81     78      -     45      3      0      0      -      -    715   1328      0      0   2941      2      0      -      -      0   4947    574 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     42     57      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     38     54      -      1      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0     61     78      -     13      5      0      0      -      -    715   1328      0      0   2941      2      0      -      -      0      0     24 
    1     47     70      -     11      4      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0     52     17 
    2     56     58      -     11      4      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0     38     17 
    3     49     54      -     12      4      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0     18     71 
    0     60     78      -     13      5      0      0      -      -    715   1328      0      0   2941      2      0      -      -      0     96      0 
    1     61     70      -     12      4      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0     69      0 
    2     44     58      -     16      6      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0     14     14 
    3     57     54      -     19      6      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      2     65 
    0     50     78      -     10      4      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0     27     19 
    1     78     70      -     15      5      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0     21      2 
    2     43     58      -     15      5      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0     69     11 
    3     56     55      -     12      4      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0     13 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     60     77      -     15      5      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0     19     21 
    1     78     70      -     15      5      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0     14      4 
    2     43     58      -     11      4      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0     69      8 
    3     38     54      -     19      6      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0     90     54 
    0     49     77      -     10      4      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0     73      8 
    1     74     70      -     12      4      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0     47      5 
    2     63     58      -     11      4      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0     69      6 
    3     38     55      -     13      4      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0     90     54 
    0     49     78      -     10      3      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0     65      0 
    1     53     70      -     11      4      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0     39      7 
    2     66     58      -     16      6      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0     15 
    3     38     55      -     14      5      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0     64     54 
    0     49     77      -     14      5      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0     51     12 
    1     78     70      -     11      4      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0     31      9 
    2     69     58      -     11      4      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0     13 
    3     38     55      -     14      5      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0     73     20 
    0     56     78      -     10      3      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0     43     16 
    1     78     70      -     16      6      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      6      5 
    2     43     58      -     15      5      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0     69     13 
    3     38     55      -     18      6      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0     71     21 
    0     54     77      -     13      5      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0     57     12 
    1     78     70      -     11      4      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0     31     17 
    2     70     58      -     12      4      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0     14     14 
    3     57     55      -     12      4      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      7     10 
    0     62     77      -     11      4      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0      0      1 
    1     48     70      -     15      5      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0     27     11 
    2     71     58      -     11      4      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0     47      5 
    3     68     55      -     12      4      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0     83     55 
    0     50     77      -     12      4      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0     86      0 
    1     58     70      -     16      6      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      2     16 
    2     71     58      -     11      4      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0     21     12 
    3     59     55      -     19      6      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0     66     60 
    0     50     77      -     10      4      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0     26      0 
    1     58     70      -     11      4      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      9     15 
    2     71     58      -     16      6      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      6 
    3     38     55      -     12      4      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0     90     54 
    0     49     77      -     15      5      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0     51     13 
    1     78     70      -     11      4      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0     39      1 
    2     43     58      -     11      4      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0     60      2 
    3     81     55      -     16      6      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0     22 
    0     55     77      -     14      5      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0     51     13 
    1     78     70      -     16      6      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0     31     10 
    2     69     58      -     13      5      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0     47      5 
    3     69     55      -     18      6      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0     81     56 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0      0      0 
    1     46     70      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0      0      0 
    1     46     69      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2941      2      0      -      -      0      0      0 
    1     45     69      -      0      0      0      0      -      -    715   1189      0      0  10655      2      0      -      -      0      0      0 
    2     42     58      -      0      0      0      0      -      -    715   1189      0      0  10659      2      0      0      0      0      0      0 
    3     36     55      -      0      0      0      0      -      -    715   1189      0      0   3899      2      0      0      0      0      0      0 
