# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     62     77      -     44      3      0      0      -      -    715   1328      0      0   2933      2      0      -      -      0   4833    568 
    1     42     64      -      0      0      0      0      -      -    715   1189      0      0  10651      2      0      -      -      0      0      0 
    2     44     62      -      0      0      0      0      -      -    715   1189      0      0  10651      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   4009      2      0      0      0      0      0      0 
    0     56     77      -     42      2      0      0      -      -    715   1328      0      0   2933      2      0      -      -      0   2280    573 
    1     46     64      -      0      0      0      0      -      -    715   1189      0      0  10651      2      0      -      -      0      0     25 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10651      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   4009      2      0      0      0      0      0      0 
    0     61     77      -     42      3      0      0      -      -    715   1328      0      0   2933      2      0      -      -      0   4839    567 
    1     49     64      -      0      0      0      0      -      -    715   1316      0      0  10651      2      0      -      -      0      0      0 
    2     50     62      -      0      0      0      0      -      -    715   1316      0      0  10651      2      0      0      0      0      0      0 
    3     53     56      -      6      2      0      0      -      -    715   1189      0      0   4009      2      0      0      0      0      0     17 
    0     55     77      -     43      3      0      0      -      -    715   1328      0      0   2933      2      0      -      -      0     29     45 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10651      2      0      -      -      0     51     33 
    2     86     62      -      6      2      0      0      -      -    715   1316      0      0  10651      2      0      0      0      0    143      0 
    3     41     56      -      2      0      0      0      -      -    715   1189      0      0   4009      2      0      0      0      0     18     71 
    0     58     77      -      9      4      0      0      -      -    715   1328      0      0   2933      2      0      -      -      0     51     14 
    1     75     64      -     16      6      0      0      -      -    715   1189      0      0  10651      2      0      -      -      0     38      0 
    2     50     62      -     11      4      0      0      -      -    715   1189      0      0  10651      2      0      0      0      0     55      4 
    3     39     57      -     13      5      0      0      -      -    715   1189      0      0   4009      2      0      0      0      0     90     54 
    0     50     77      -     11      4      0      0      -      -    715   1189      0      0   2933      2      0      -      -      0    102      0 
    1     59     64      -     11      4      0      0      -      -    715   1189      0      0  10651      2      0      -      -      0      0     17 
    2     72     62      -     16      6      0      0      -      -    715   1189      0      0  10651      2      0      0      0      0     22      2 
    3     40     57      -     16      6      0      0      -      -    715   1189      0      0   4009      2      0      0      0      0     75     57 
    0     48     77      -     11      4      0      0      -      -    715   1189      0      0   2933      2      0      -      -      0     67      9 
    1     72     64      -     11      4      0      0      -      -    715   1189      0      0  10651      2      0      -      -      0     47      5 
    2     66     62      -     13      5      0      0      -      -    715   1189      0      0  10651      2      0      0      0      0     31     10 
    3     61     57      -     13      5      0      0      -      -    715   1189      0      0   4009      2      0      0      0      0      0     58 
    0     48     77      -     12      4      0      0      -      -    715   1189      0      0   2933      2      0      -      -      0     75      7 
    1     62     64      -     11      4      0      0      -      -    715   1189      0      0  10651      2      0      -      -      0      0     17 
    2     56     62      -     11      4      0      0      -      -    715   1189      0      0  10651      2      0      0      0      0     38     18 
    3     52     57      -     16      5      0      0      -      -    715   1189      0      0   4009      2      0      0      0      0     25      5 
    0     63     77      -     11      4      0      0      -      -    715   1189      0      0   2933      2      0      -      -      0      2     25 
    1     52     64      -     11      4      0      0      -      -    715   1189      0      0  10651      2      0      -      -      0     41     17 
    2     73     62      -     15      5      0      0      -      -    715   1189      0      0  10651      2      0      0      0      0     14     14 
    3     57     57      -     15      5      0      0      -      -    715   1189      0      0   4009      2      0      0      0      0      7      0 
    0     68     77      -     12      4      0      0      -      -    715   1189      0      0   2933      2      0      -      -      0     22      9 
    1     44     64      -     15      5      0      0      -      -    715   1189      0      0  10651      2      0      -      -      0     63      2 
    2     62     62      -     11      4      0      0      -      -    715   1189      0      0  10651      2      0      0      0      0      0     18 
    3     47     57      -     13      4      0      0      -      -    715   1189      0      0   4009      2      0      0      0      0     40      1 
    0     63     77      -     13      5      0      0      -      -    715   1189      0      0   2933      2      0      -      -      0    105      0 
    1     59     64      -     13      4      0      0      -      -    715   1189      0      0  10651      2      0      -      -      0     69     12 
    2     49     62      -     15      5      0      0      -      -    715   1189      0      0  10651      2      0      0      0      0     47     18 
    3     47     57      -     16      6      0      0      -      -    715   1189      0      0   4009      2      0      0      0      0     40      1 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     65     77      -     11      4      0      0      -      -    715   1189      0      0   2933      2      0      -      -      0      0     15 
    1     44     64      -     11      4      0      0      -      -    715   1189      0      0  10651      2      0      -      -      0     69      7 
    2     71     62      -     11      4      0      0      -      -    715   1189      0      0  10651      2      0      0      0      0     63      6 
    3     39     57      -     14      5      0      0      -      -    715   1189      0      0   4009      2      0      0      0      0     90     54 
    0     48     77      -     13      5      0      0      -      -    715   1189      0      0   2933      2      0      -      -      0     83      5 
    1     67     64      -     15      5      0      0      -      -    715   1189      0      0  10651      2      0      -      -      0     63      2 
    2     59     62      -     16      6      0      0      -      -    715   1189      0      0  10651      2      0      0      0      0     69     13 
    3     38     57      -     16      5      0      0      -      -    715   1189      0      0   4009      2      0      0      0      0     73     21 
    0     56     77      -     10      3      0      0      -      -    715   1189      0      0   2933      2      0      -      -      0      0     10 
    1     44     64      -     11      4      0      0      -      -    715   1189      0      0  10651      2      0      -      -      0     63      2 
