tag	run	eval_tps	prompt_tps	prompt_n	predicted_n	gpu0_used	gpu1_used	gpu2_used	gpu3_used
Sbf_f16_fa1_ctx32768_b1600_ub1600_1k	1	14.571602292249649	68.50279696731651	1091	256	2941MiB	10655MiB	10659MiB	3899MiB
Sbf_f16_fa1_ctx32768_b1600_ub1600_1k	2	14.573657056004004	68.6671961572553	1091	256	2941MiB	10655MiB	10659MiB	3899MiB
Sbf_f16_fa1_ctx32768_b1600_ub1600_1k	3	14.575083371184899	68.16802098800268	1091	256	2941MiB	10655MiB	10659MiB	3899MiB
Sbf_f16_fa1_ctx32768_b1600_ub1600_warmup	1	14.838371588413482	10.729794647058732	70	256	2891MiB	10609MiB	10609MiB	3861MiB
Sbf_f16_fa1_ctx32768_b1600_ub1600_warmup	2	14.590511038348536	11.006559280384865	70	256	2891MiB	10609MiB	10609MiB	3861MiB
Sbf_f16_fa1_ctx32768_b1600_ub1600_warmup	3	14.594457925631547	11.025394791824008	70	256	2891MiB	10609MiB	10609MiB	3861MiB
Sbf_f16_fa1_ctx32768_b1664_ub1664_1k	1	15.446115802667666	67.99928223672389	1091	256	2959MiB	10673MiB	10677MiB	3963MiB
Sbf_f16_fa1_ctx32768_b1664_ub1664_1k	2	15.451058651011525	68.16700303427514	1091	256	2959MiB	10673MiB	10677MiB	3963MiB
Sbf_f16_fa1_ctx32768_b1664_ub1664_1k	3	15.457548258948712	68.1518267781708	1091	256	2959MiB	10673MiB	10677MiB	3963MiB
Sbf_f16_fa1_ctx32768_b1664_ub1664_warmup	1	15.474276916053983	10.708425036970839	70	256	2909MiB	10627MiB	10627MiB	3925MiB
Sbf_f16_fa1_ctx32768_b1664_ub1664_warmup	2	15.459428240293141	10.961636152603514	70	256	2909MiB	10627MiB	10627MiB	3925MiB
Sbf_f16_fa1_ctx32768_b1664_ub1664_warmup	3	15.459131370732191	10.933773974837639	70	256	2909MiB	10627MiB	10627MiB	3925MiB
Sbf_f16_fa1_ctx32768_b1700_ub1700_1k	1	14.7576851510132	68.88232896773422	1091	256	2969MiB	10683MiB	10687MiB	3999MiB
Sbf_f16_fa1_ctx32768_b1700_ub1700_1k	2	14.760797811896234	68.98988687935028	1091	256	2969MiB	10683MiB	10687MiB	3999MiB
Sbf_f16_fa1_ctx32768_b1700_ub1700_1k	3	14.758079053841104	68.95887832284929	1091	256	2969MiB	10683MiB	10687MiB	3999MiB
Sbf_f16_fa1_ctx32768_b1700_ub1700_warmup	1	14.782356080049462	10.753783373022474	70	256	2919MiB	10637MiB	10637MiB	3961MiB
Sbf_f16_fa1_ctx32768_b1700_ub1700_warmup	2	14.777923029880615	10.936831827930513	70	256	2919MiB	10637MiB	10637MiB	3961MiB
Sbf_f16_fa1_ctx32768_b1700_ub1700_warmup	3	14.77182947492378	10.980288812968034	70	256	2919MiB	10637MiB	10637MiB	3961MiB
Sbf_f16_fa1_ctx32768_b1750_ub1750_1k	1	14.618573994653255	68.39179484016191	1091	256	2983MiB	10697MiB	10701MiB	4047MiB
Sbf_f16_fa1_ctx32768_b1750_ub1750_1k	2	14.624292778341424	68.47151556710263	1091	256	2983MiB	10697MiB	10701MiB	4047MiB
Sbf_f16_fa1_ctx32768_b1750_ub1750_1k	3	14.625111545040202	68.54496628322744	1091	256	2983MiB	10697MiB	10701MiB	4047MiB
Sbf_f16_fa1_ctx32768_b1750_ub1750_warmup	1	14.639280689793756	10.736334639894134	70	256	2933MiB	10651MiB	10651MiB	4009MiB
Sbf_f16_fa1_ctx32768_b1750_ub1750_warmup	2	14.63853064833709	11.001100110011	70	256	2933MiB	10651MiB	10651MiB	4009MiB
Sbf_f16_fa1_ctx32768_b1750_ub1750_warmup	3	14.640475389961358	10.949921316993965	70	256	2933MiB	10651MiB	10651MiB	4009MiB
