# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    102     77      -     56      6      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   1506    576 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
    0    116     77      -     52      5      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   4925    583 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
    0     58     78      -     61     10      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   4523      9 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
    0     56     77      -      0      0      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0      0      0 
    1    112     67      -     91     18      0      0      -      -    715   1328      0      0  10645      2      0      -      -      0     39     71 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
    0     58     77      -     45      5      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0    209    339 
    1     50     65      -      1      0      0      0      -      -    715   1328      0      0  10645      2      0      -      -      0      0      6 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
    0     98     78      -     39      4      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   5047    578 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     52     61      -      1      0      0      0      -      -    715   1328      0      0  10649      2      0      0      0      0      0     46 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
    0     78     78      -     56      6      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   1015    569 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     52     61      -      0      0      0      0      -      -    715   1328      0      0  10649      2      0      0      0      0      0      0 
    3    112     56      -      1      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      9    795 
    0     60     78      -     59      6      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0     46    735 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     56      -     17      3      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0     84    163 
    0     60     78      -     46      5      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   4915     86 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0    230 
    2     43     60      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      1 
    3     37     56      -     18      3      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      4     43 
    0     69     78      -     14      5      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0      0     17 
    1     76     65      -     16      6      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0     14      0 
    2     47     61      -     11      4      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0     70     12 
    3     41     57      -     15      5      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0     90     54 
    0     62     78      -      9      4      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0     78      0 
    1     46     65      -     11      4      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0     16     14 
    2     73     61      -     12      4      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      8 
    3     39     57      -     19      6      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0     90     54 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     48     77      -     12      4      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     94      0 
    1     58     65      -     15      5      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0     69     14 
    2     44     61      -     11      4      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0     17 
    3     46     57      -     13      4      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0     47      1 
    0     62     77      -     12      4      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     10     24 
    1     63     65      -     11      4      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0     17 
    2     72     61      -     16      6      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0     14      4 
    3     39     57      -     16      5      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0     83     55 
    0     49     77      -     13      5      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     73      8 
    1     71     65      -     15      5      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0     47      5 
    2     66     61      -     11      4      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0     70      7 
    3     39     57      -     15      5      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0     17 
    0     53     77      -     10      4      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     22      0 
    1     48     65      -     11      4      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      6      5 
    2     44     61      -     16      6      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0     69     11 
    3     39     57      -     15      5      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0     80     20 
    0     52     77      -     14      5      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     91      3 
    1     65     65      -     16      6      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0     69      8 
    2     45     61      -     11      4      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0     70     13 
    3     41     57      -     16      5      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0     63     22 
    0     52     77      -     14      5      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0    105      0 
    1     60     65      -     11      4      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0     69      0 
    2     46     61      -     16      6      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0     60     18 
    3     45     57      -     12      4      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0     55     54 
    0     48     77      -     10      3      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0    102      0 
    1     58     65      -     13      5      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0     17 
    2     72     61      -     15      5      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0     16      3 
    3     39     57      -     19      6      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0     83     55 
    0     48     77      -     10      3      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     75      0 
    1     49     65      -     16      6      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0     55      3 
    2     60     61      -     11      4      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     40     57      -     19      6      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0     57     62 
    0     49     77      -     14      5      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     67      9 
    1     72     65      -     16      6      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0     47      5 
    2     65     61      -     11      4      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0     18 
    3     42     57      -     12      4      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0     55      0 
    0     61     77      -     11      4      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0      0      2 
    1     45     65      -     11      4      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0     30     10 
    2     71     61      -     11      4      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0     55      3 
    3     79     57      -     13      4      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0     83     11 
    0     55     77      -     14      5      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0      0     14 
    1     44     65      -     16      6      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0     69     12 
    2     45     61      -     11      4      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0     60     17 
    3     44     57      -     16      6      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0     55      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     44     60      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     57      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     44     60      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     44     60      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
    0     47     76      -      0      0      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     44     60      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     44     60      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
    0     47     77      -      0      0      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0      0      0 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10645      2      0      -      -      0      0      0 
    2     44     60      -      0      0      0      0      -      -    715   1189      0      0  10649      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3869      2      0      0      0      0      0      0 
