# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     56     76      -     45      3      0      0      -      -    715   1328      0      0   2891      2      0      -      -      0   2542    566 
    1     43     64      -      0      0      0      0      -      -    715   1189      0      0  10609      2      0      -      -      0      0      0 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10609      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3861      2      0      0      0      0      0      0 
    0     55     77      -     35      2      0      0      -      -    715   1328      0      0   2891      2      0      -      -      0   2982    783 
    1     47     65      -     81     17      0      0      -      -    715   1316      0      0  10609      2      0      -      -      0      0     18 
    2     44     61      -      0      0      0      0      -      -    715   1189      0      0  10609      2      0      0      0      0      0      0 
    3     37     56      -      0      0      0      0      -      -    715   1189      0      0   3861      2      0      0      0      0      0      0 
    0     58     77      -     43      3      0      0      -      -    715   1328      0      0   2891      2      0      -      -      0   2641    566 
    1     49     64      -      0      0      0      0      -      -    715   1316      0      0  10609      2      0      -      -      0      0      0 
    2     49     61      -      0      0      0      0      -      -    715   1316      0      0  10609      2      0      0      0      0      0      0 
    3     37     56      -      3      1      0      0      -      -    715   1189      0      0   3861      2      0      0      0      0     82     48 
    0     75     77      -     13      5      0      0      -      -    715   1328      0      0   2891      2      0      -      -      0      2     24 
    1     60     64      -     12      4      0      0      -      -    715   1189      0      0  10609      2      0      -      -      0     38     17 
    2     73     61      -     12      4      0      0      -      -    715   1189      0      0  10609      2      0      0      0      0     14      4 
    3     39     56      -     12      4      0      0      -      -    715   1189      0      0   3861      2      0      0      0      0     89     11 
    0     66     77      -     13      5      0      0      -      -    715   1328      0      0   2891      2      0      -      -      0      0     16 
    1     74     64      -     14      5      0      0      -      -    715   1189      0      0  10609      2      0      -      -      0      0      8 
    2     45     61      -     12      4      0      0      -      -    715   1189      0      0  10609      2      0      0      0      0     69      0 
    3     62     56      -     18      6      0      0      -      -    715   1189      0      0   3861      2      0      0      0      0     18     71 
    0     50     77      -     10      3      0      0      -      -    715   1189      0      0   2891      2      0      -      -      0    105      0 
    1     61     64      -     16      6      0      0      -      -    715   1189      0      0  10609      2      0      -      -      0     69      9 
    2     45     61      -     11      4      0      0      -      -    715   1189      0      0  10609      2      0      0      0      0     67     14 
    3     38     56      -     12      4      0      0      -      -    715   1189      0      0   3861      2      0      0      0      0     72     21 
    0     55     77      -     14      5      0      0      -      -    715   1189      0      0   2891      2      0      -      -      0      0     12 
    1     44     65      -     11      4      0      0      -      -    715   1189      0      0  10609      2      0      -      -      0     29     10 
    2     74     61      -     11      4      0      0      -      -    715   1189      0      0  10609      2      0      0      0      0     47      6 
    3     64     56      -     18      6      0      0      -      -    715   1189      0      0   3861      2      0      0      0      0      0     18 
    0     57     77      -     10      3      0      0      -      -    715   1189      0      0   2891      2      0      -      -      0      0      7 
    1     44     65      -     14      5      0      0      -      -    715   1189      0      0  10609      2      0      -      -      0     47      5 
    2     65     61      -     16      6      0      0      -      -    715   1189      0      0  10609      2      0      0      0      0     69      6 
    3     39     56      -     12      4      0      0      -      -    715   1189      0      0   3861      2      0      0      0      0     90     54 
    0     48     77      -     10      3      0      0      -      -    715   1189      0      0   2891      2      0      -      -      0     47      0 
    1     49     65      -     15      5      0      0      -      -    715   1189      0      0  10609      2      0      -      -      0     39      7 
    2     69     61      -     11      4      0      0      -      -    715   1189      0      0  10609      2      0      0      0      0      0      0 
    3     41     57      -     12      4      0      0      -      -    715   1189      0      0   3861      2      0      0      0      0     32     68 
