tag	run	eval_tps	prompt_tps	prompt_n	predicted_n	gpu0_used	gpu1_used	gpu2_used	gpu3_used
Sbf2_f16_fa1_ctx32768_b1552_ub1552_1k	1	14.755973661970387	68.77068001103353	1092	256	2935MiB	10641MiB	10645MiB	3853MiB
Sbf2_f16_fa1_ctx32768_b1552_ub1552_1k	2	14.764182554503481	68.87821234547344	1092	256	2935MiB	10641MiB	10645MiB	3853MiB
Sbf2_f16_fa1_ctx32768_b1552_ub1552_1k	3	14.767353327445235	68.962773364455	1092	256	2935MiB	10641MiB	10645MiB	3853MiB
Sbf2_f16_fa1_ctx32768_b1552_ub1552_warmup	1	15.05872963380346	10.855794379634164	71	256	2885MiB	10595MiB	10595MiB	3815MiB
Sbf2_f16_fa1_ctx32768_b1552_ub1552_warmup	2	14.7881516404797	11.223591166622747	71	256	2885MiB	10595MiB	10595MiB	3815MiB
Sbf2_f16_fa1_ctx32768_b1552_ub1552_warmup	3	14.78570545719596	11.216303892957916	71	256	2885MiB	10595MiB	10595MiB	3815MiB
Sbf2_f16_fa1_ctx32768_b1568_ub1568_1k	1	14.68711847914888	68.16521950823663	1092	256	2935MiB	10645MiB	10649MiB	3869MiB
Sbf2_f16_fa1_ctx32768_b1568_ub1568_1k	2	14.689704944078418	68.41701448448343	1092	256	2935MiB	10645MiB	10649MiB	3869MiB
Sbf2_f16_fa1_ctx32768_b1568_ub1568_1k	3	14.686512658310997	68.08874032962183	1092	256	2935MiB	10645MiB	10649MiB	3869MiB
Sbf2_f16_fa1_ctx32768_b1568_ub1568_warmup	1	14.709812461957755	10.630041034952773	71	256	2885MiB	10599MiB	10599MiB	3831MiB
Sbf2_f16_fa1_ctx32768_b1568_ub1568_warmup	2	14.706753369871572	11.080425787989942	71	256	2885MiB	10599MiB	10599MiB	3831MiB
Sbf2_f16_fa1_ctx32768_b1568_ub1568_warmup	3	14.703112005550425	11.060785403003612	71	256	2885MiB	10599MiB	10599MiB	3831MiB
Sbf2_f16_fa1_ctx32768_b1584_ub1584_1k	1	15.29614501892689	68.36527667496337	1092	256	2937MiB	10649MiB	10653MiB	3885MiB
Sbf2_f16_fa1_ctx32768_b1584_ub1584_1k	2	15.287922033986366	68.251612444344	1092	256	2937MiB	10649MiB	10653MiB	3885MiB
Sbf2_f16_fa1_ctx32768_b1584_ub1584_1k	3	15.292743127435264	68.52040292255833	1092	256	2937MiB	10649MiB	10653MiB	3885MiB
Sbf2_f16_fa1_ctx32768_b1584_ub1584_warmup	1	15.31574148918903	10.787917593072759	71	256	2887MiB	10603MiB	10603MiB	3847MiB
Sbf2_f16_fa1_ctx32768_b1584_ub1584_warmup	2	15.317326846445415	11.023829638047305	71	256	2887MiB	10603MiB	10603MiB	3847MiB
Sbf2_f16_fa1_ctx32768_b1584_ub1584_warmup	3	15.306875956306046	11.104990332402078	71	256	2887MiB	10603MiB	10603MiB	3847MiB
Sbf2_f16_fa1_ctx32768_b1600_ub1600_1k	1	14.567706717465473	68.39273135579383	1092	256	2941MiB	10655MiB	10659MiB	3899MiB
Sbf2_f16_fa1_ctx32768_b1600_ub1600_1k	2	14.558987786374153	68.37736138274555	1092	256	2941MiB	10655MiB	10659MiB	3899MiB
Sbf2_f16_fa1_ctx32768_b1600_ub1600_1k	3	14.569043979903142	68.52944164758836	1092	256	2941MiB	10655MiB	10659MiB	3899MiB
Sbf2_f16_fa1_ctx32768_b1600_ub1600_warmup	1	14.576981408939275	10.879825432434751	71	256	2891MiB	10609MiB	10609MiB	3861MiB
Sbf2_f16_fa1_ctx32768_b1600_ub1600_warmup	2	14.581398521298096	11.172551401604442	71	256	2891MiB	10609MiB	10609MiB	3861MiB
Sbf2_f16_fa1_ctx32768_b1600_ub1600_warmup	3	14.568034170689899	11.087409387756377	71	256	2891MiB	10609MiB	10609MiB	3861MiB
