# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     62     69      -     59      7      0      0      -      -    715   1328      0      0   2933      2      0      -      -      0   5208    582 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  10603      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  10603      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0      0      0 
    0     55     69      -     53      5      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   5099    583 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  10603      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  10603      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0      0      0 
    0    116     70      -     52      5      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   5106    582 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  10603      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  10603      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0      0      0 
    0     51     70      -     53      5      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0      0      0 
    1    104     68      -     92     18      0      0      -      -    715   1316      0      0  10647      2      0      -      -      0     39     70 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  10603      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0      0      0 
    0     60     70      -     40      4      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   4995    581 
    1     53     68      -     19      4      0      0      -      -    715   1328      0      0  10647      2      0      -      -      0      0      1 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  10603      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0      0      0 
    0     50     69      -      0      0      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   5048    634 
    1     53     68      -      0      0      0      0      -      -    715   1328      0      0  10647      2      0      -      -      0      0      0 
    2     45     52      -     79     16      0      0      -      -    715   1328      0      0  10653      2      0      0      0      0      0      1 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0      0      0 
    0     51     70      -     46      5      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   1967    584 
    1     45     67      -      0      0      0      0      -      -    715   1189      0      0  10647      2      0      -      -      0      0      0 
    2     45     51      -      1      0      0      0      -      -    715   1328      0      0  10653      2      0      0      0      0      0     35 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0    776      7 
    0     77     70      -     48      4      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0     34    287 
    1     45     67      -      0      0      0      0      -      -    715   1189      0      0  10647      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      0      0 
    3     34     47      -     11      2      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0      0      0 
    0     53     70      -     40      3      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0   4978    541 
    1     44     67      -      0      0      0      0      -      -    715   1189      0      0  10647      2      0      -      -      0      0      0 
    2     38     50      -      0      0      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      0      0 
    3     34     47      -      0      0      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0    190    135 
    0     55     70      -      9      4      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0     10     24 
    1     75     68      -     12      4      0      0      -      -    715   1189      0      0  10647      2      0      -      -      0     23      5 
    2     39     51      -     11      4      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     70     15 
    3     36     48      -     17      6      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     63     76 
    0     74     70      -     14      5      0      0      -      -    715   1328      0      0   2935      2      0      -      -      0    105      0 
    1     61     68      -     13      5      0      0      -      -    715   1189      0      0  10647      2      0      -      -      0      2     16 
    2     67     51      -     16      6      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     55      3 
    3     72     48      -     17      6      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0      2      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     44     70      -     11      4      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     99      2 
    1     64     68      -     11      4      0      0      -      -    715   1189      0      0  10647      2      0      -      -      0      0     17 
    2     65     51      -     14      5      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     22      5 
    3     36     48      -     12      4      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     90     54 
    0     53     70      -     14      5      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     43     15 
    1     79     68      -     14      5      0      0      -      -    715   1189      0      0  10647      2      0      -      -      0      0     11 
    2     39     51      -     11      4      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     51     18 
    3     48     48      -     16      6      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     35     68 
    0     67     70      -     12      4      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     91      3 
    1     65     68      -     16      6      0      0      -      -    715   1189      0      0  10647      2      0      -      -      0     69     15 
    2     39     51      -     12      4      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     50     18 
    3     49     48      -     19      6      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     23      9 
    0     44     70      -     10      3      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     89      0 
    1     58     68      -     15      5      0      0      -      -    715   1189      0      0  10647      2      0      -      -      0     21     12 
    2     66     51      -     11      4      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     55      3 
    3     76     48      -     15      5      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     91     19 
    0     59     70      -     12      4      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     46      0 
    1     50     68      -     11      4      0      0      -      -    715   1189      0      0  10647      2      0      -      -      0     69     11 
    2     39     51      -     13      4      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     61     18 
    3     45     48      -     12      4      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     39      5 
    0     44     70      -     14      5      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0    105      0 
    1     60     68      -     11      4      0      0      -      -    715   1189      0      0  10647      2      0      -      -      0      2     17 
    2     68     51      -     16      6      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      6      9 
    3     58     48      -     17      6      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0      0     54 
    0     54     70      -     11      4      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     35     17 
    1     77     68      -     11      4      0      0      -      -    715   1189      0      0  10647      2      0      -      -      0     31      9 
    2     65     51      -     11      4      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0      0     10 
    3     36     48      -     12      4      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0     82     22 
    0     62     70      -     10      3      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     38      0 
    1     51     68      -     16      6      0      0      -      -    715   1189      0      0  10647      2      0      -      -      0     63      2 
    2     52     51      -     11      4      0      0      -      -    715   1189      0      0  10653      2      0      0      0      0     11     15 
    3     54     48      -     13      5      0      0      -      -    715   1189      0      0   3885      2      0      0      0      0      1     14 
    0     44     70      -     14      5      0      0      -      -    715   1189      0      0   2935      2      0      -      -      0     96      0 
