# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     51     67      -     45      3      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0   5022    437 
    1     43     65      -      0      0      0      0      -      -    715   1189      0      0  10603      2      0      -      -      0      0      0 
    2     37     49      -      0      0      0      0      -      -    715   1189      0      0  10603      2      0      0      0      0      0      0 
    3     34     46      -      0      0      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0      0      0 
    0     48     67      -     42      2      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0    756    579 
    1     54     66      -     19      4      0      0      -      -    715   1189      0      0  10603      2      0      -      -      0      0      0 
    2     37     49      -      0      0      0      0      -      -    715   1189      0      0  10603      2      0      0      0      0      0      0 
    3     33     46      -      0      0      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0      0      0 
    0     59     67      -     43      3      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0   4676    460 
    1     50     66      -      0      0      0      0      -      -    715   1316      0      0  10603      2      0      -      -      0      0      0 
    2     42     49      -      2      1      0      0      -      -    715   1316      0      0  10603      2      0      0      0      0      0     50 
    3     49     46      -      0      0      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0     68      0 
    0     50     67      -     41      2      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0   4933    462 
    1     43     66      -      0      0      0      0      -      -    715   1189      0      0  10603      2      0      -      -      0      0     19 
    2     42     49      -      0      0      0      0      -      -    715   1316      0      0  10603      2      0      0      0      0     56     29 
    3     51     46      -      2      1      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0      0     14 
    0     77     67      -      9      4      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0     75      7 
    1     69     66      -     16      6      0      0      -      -    715   1189      0      0  10603      2      0      -      -      0     69      5 
    2     58     49      -     16      6      0      0      -      -    715   1189      0      0  10603      2      0      0      0      0      0     17 
    3     47     46      -     17      6      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0     25      9 
    0     67     68      -     14      5      0      0      -      -    715   1328      0      0   2887      2      0      -      -      0     46      0 
    1     50     66      -     11      4      0      0      -      -    715   1189      0      0  10603      2      0      -      -      0     61      2 
    2     56     50      -     16      6      0      0      -      -    715   1189      0      0  10603      2      0      0      0      0     69      0 
    3     57     47      -     19      6      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0      0     68 
    0     63     67      -     11      4      0      0      -      -    715   1189      0      0   2887      2      0      -      -      0    105      0 
    1     59     66      -     16      6      0      0      -      -    715   1189      0      0  10603      2      0      -      -      0      8     15 
    2     67     49      -     16      6      0      0      -      -    715   1189      0      0  10603      2      0      0      0      0     30      3 
    3     36     47      -     15      5      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0     90      0 
    0     44     67      -     14      5      0      0      -      -    715   1189      0      0   2887      2      0      -      -      0     54      0 
    1     52     66      -     16      6      0      0      -      -    715   1189      0      0  10603      2      0      -      -      0     47      5 
    2     59     50      -     11      4      0      0      -      -    715   1189      0      0  10603      2      0      0      0      0     69     15 
    3     35     47      -     12      4      0      0      -      -    715   1189      0      0   3847      2      0      0      0      0     63     77 
    0     65     67      -     13      5      0      0      -      -    715   1189      0      0   2887      2      0      -      -      0      0     19 
