ub	phase	run	eval_tps	prompt_tps	prompt_n	predicted_n
1584	warmup	1	15.509519209751224	10.133308577551517	62	256
1584	warmup	2	15.234277600672689	10.352817335558855	62	256
1584	eval	1	15.207923803549267	68.31491700683773	1083	256
1584	eval	2	15.211448040723898	68.37681953842048	1083	256
1584	eval	3	15.198920021739205	68.44143372354009	1083	256
1584	eval	4	15.204440029085617	68.46185925341678	1083	256
1584	eval	5	15.209293543761833	68.47099649514482	1083	256
1586	warmup	1	15.21648149417289	10.121536801907812	62	256
1586	warmup	2	15.204058961103087	10.31063447154423	62	256
1586	eval	1	15.176533616881569	68.05197788706589	1083	256
1586	eval	2	15.187533408124025	68.19666052980682	1083	256
1586	eval	3	15.186476584974299	68.23410206851396	1083	256
1586	eval	4	15.197664926276781	68.30888457646567	1083	256
1586	eval	5	15.1903748563219	68.21304312746034	1083	256
1664	warmup	1	14.678125619412599	10.039733053213986	62	256
1664	warmup	2	14.665726838005131	10.266724535666684	62	256
1664	eval	1	14.651999557234888	67.94281636462017	1083	256
1664	eval	2	14.639327569936814	68.17417412464644	1083	256
1664	eval	3	14.649129598503409	68.18600361077314	1083	256
1664	eval	4	14.645468952206514	68.29133626344995	1083	256
1664	eval	5	14.645151413703333	68.18442811208085	1083	256
